"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-21",2.19,"1",-75
"2020-03-21",2.19,"2",-57
"2020-03-21",2.19,"3",28
"2020-03-22",2.19,"4",-87
"2020-03-22",2.19,"5",-61
"2020-03-22",2.19,"6",-90
"2020-03-22",2.19,"1",-81
"2020-03-22",2.19,"2",-58
"2020-03-22",2.19,"3",27
"2020-03-23",2.11,"4",-88
"2020-03-23",2.11,"5",-64
"2020-03-23",2.11,"6",-88
"2020-03-23",2.11,"1",-85
"2020-03-23",2.11,"2",-79
"2020-03-23",2.11,"3",32
"2020-03-24",2.03,"4",-88
"2020-03-24",2.03,"5",-64
"2020-03-24",2.03,"6",-88
"2020-03-24",2.03,"1",-85
"2020-03-24",2.03,"2",-79
"2020-03-24",2.03,"3",31
"2020-03-25",1.96,"4",-82
"2020-03-25",1.96,"5",-50
"2020-03-25",1.96,"6",-82
"2020-03-25",1.96,"1",-77
"2020-03-25",1.96,"2",-68
"2020-03-25",1.96,"3",28
"2020-03-26",1.92,"4",-83
"2020-03-26",1.92,"5",-52
"2020-03-26",1.92,"6",-84
"2020-03-26",1.92,"1",-77
"2020-03-26",1.92,"2",-68
"2020-03-26",1.92,"3",30
"2020-03-27",1.85,"4",-81
"2020-03-27",1.85,"5",-49
"2020-03-27",1.85,"6",-82
"2020-03-27",1.85,"1",-75
"2020-03-27",1.85,"2",-67
"2020-03-27",1.85,"3",32
"2020-03-28",1.79,"4",-82
"2020-03-28",1.79,"5",-48
"2020-03-28",1.79,"6",-84
"2020-03-28",1.79,"1",-75
"2020-03-28",1.79,"2",-59
"2020-03-28",1.79,"3",29
"2020-03-29",1.72,"4",-86
"2020-03-29",1.72,"5",-61
"2020-03-29",1.72,"6",-89
"2020-03-29",1.72,"1",-80
"2020-03-29",1.72,"2",-57
"2020-03-29",1.72,"3",27
"2020-03-30",1.68,"4",-81
"2020-03-30",1.68,"5",-51
"2020-03-30",1.68,"6",-83
"2020-03-30",1.68,"1",-77
"2020-03-30",1.68,"2",-68
"2020-03-30",1.68,"3",28
"2020-03-31",1.64,"4",-85
"2020-03-31",1.64,"5",-59
"2020-03-31",1.64,"6",-85
"2020-03-31",1.64,"1",-82
"2020-03-31",1.64,"2",-76
"2020-03-31",1.64,"3",30
"2020-04-01",1.55,"4",-79
"2020-04-01",1.55,"5",-46
"2020-04-01",1.55,"6",-79
"2020-04-01",1.55,"1",-75
"2020-04-01",1.55,"2",-64
"2020-04-01",1.55,"3",27
"2020-04-02",1.48,"4",-79
"2020-04-02",1.48,"5",-47
"2020-04-02",1.48,"6",-81
"2020-04-02",1.48,"1",-74
"2020-04-02",1.48,"2",-64
"2020-04-02",1.48,"3",29
"2020-04-03",1.44,"4",-77
"2020-04-03",1.44,"5",-41
"2020-04-03",1.44,"6",-78
"2020-04-03",1.44,"1",-71
"2020-04-03",1.44,"2",-62
"2020-04-03",1.44,"3",31
"2020-04-04",1.39,"4",-77
"2020-04-04",1.39,"5",-41
"2020-04-04",1.39,"6",-81
"2020-04-04",1.39,"1",-71
"2020-04-04",1.39,"2",-54
"2020-04-04",1.39,"3",27
"2020-04-05",1.32,"4",-83
"2020-04-05",1.32,"5",-54
"2020-04-05",1.32,"6",-87
"2020-04-05",1.32,"1",-76
"2020-04-05",1.32,"2",-52
"2020-04-05",1.32,"3",26
"2020-04-06",1.29,"4",-75
"2020-04-06",1.29,"5",-41
"2020-04-06",1.29,"6",-77
"2020-04-06",1.29,"1",-70
"2020-04-06",1.29,"2",-60
"2020-04-06",1.29,"3",26
"2020-04-07",1.25,"4",-82
"2020-04-07",1.25,"5",-30
"2020-04-07",1.25,"6",-72
"2020-04-07",1.25,"1",-64
"2020-04-07",1.25,"2",-59
"2020-04-07",1.25,"3",25
"2020-04-08",1.24,"4",-82
"2020-04-08",1.24,"5",-28
"2020-04-08",1.24,"6",-69
"2020-04-08",1.24,"1",-63
"2020-04-08",1.24,"2",-58
"2020-04-08",1.24,"3",24
"2020-04-09",1.22,"4",-83
"2020-04-09",1.22,"5",-30
"2020-04-09",1.22,"6",-75
"2020-04-09",1.22,"1",-67
"2020-04-09",1.22,"2",-63
"2020-04-09",1.22,"3",27
"2020-04-10",1.21,"4",-90
"2020-04-10",1.21,"5",-58
"2020-04-10",1.21,"6",-85
"2020-04-10",1.21,"1",-79
"2020-04-10",1.21,"2",-76
"2020-04-10",1.21,"3",35
"2020-04-11",1.19,"4",-84
"2020-04-11",1.19,"5",-34
"2020-04-11",1.19,"6",-80
"2020-04-11",1.19,"1",-67
"2020-04-11",1.19,"2",-52
"2020-04-11",1.19,"3",27
"2020-04-12",1.2,"4",-87
"2020-04-12",1.2,"5",-51
"2020-04-12",1.2,"6",-86
"2020-04-12",1.2,"1",-74
"2020-04-12",1.2,"2",-49
"2020-04-12",1.2,"3",25
"2020-04-13",1.19,"4",-83
"2020-04-13",1.19,"5",-40
"2020-04-13",1.19,"6",-74
"2020-04-13",1.19,"1",-67
"2020-04-13",1.19,"2",-55
"2020-04-13",1.19,"3",25
"2020-04-14",1.18,"4",-81
"2020-04-14",1.18,"5",-31
"2020-04-14",1.18,"6",-70
"2020-04-14",1.18,"1",-63
"2020-04-14",1.18,"2",-54
"2020-04-14",1.18,"3",24
"2020-04-15",1.19,"4",-81
"2020-04-15",1.19,"5",-31
"2020-04-15",1.19,"6",-70
"2020-04-15",1.19,"1",-62
"2020-04-15",1.19,"2",-53
"2020-04-15",1.19,"3",24
"2020-04-16",1.17,"4",-83
"2020-04-16",1.17,"5",-31
"2020-04-16",1.17,"6",-92
"2020-04-16",1.17,"1",-61
"2020-04-16",1.17,"2",-53
"2020-04-16",1.17,"3",26
"2020-04-17",1.16,"4",-83
"2020-04-17",1.16,"5",-29
"2020-04-17",1.16,"6",-92
"2020-04-17",1.16,"1",-61
"2020-04-17",1.16,"2",-52
"2020-04-17",1.16,"3",28
"2020-04-18",1.16,"4",-85
"2020-04-18",1.16,"5",-36
"2020-04-18",1.16,"6",-94
"2020-04-18",1.16,"1",-65
"2020-04-18",1.16,"2",-45
"2020-04-18",1.16,"3",26
"2020-04-19",1.17,"4",-89
"2020-04-19",1.17,"5",-53
"2020-04-19",1.17,"6",-95
"2020-04-19",1.17,"1",-73
"2020-04-19",1.17,"2",-48
"2020-04-19",1.17,"3",25
"2020-04-20",1.18,"4",-83
"2020-04-20",1.18,"5",-37
"2020-04-20",1.18,"6",-92
"2020-04-20",1.18,"1",-62
"2020-04-20",1.18,"2",-49
"2020-04-20",1.18,"3",24
"2020-04-21",1.2,"4",-82
"2020-04-21",1.2,"5",-34
"2020-04-21",1.2,"6",-92
"2020-04-21",1.2,"1",-61
"2020-04-21",1.2,"2",-50
"2020-04-21",1.2,"3",23
"2020-04-22",1.23,"4",-83
"2020-04-22",1.23,"5",-34
"2020-04-22",1.23,"6",-91
"2020-04-22",1.23,"1",-61
"2020-04-22",1.23,"2",-49
"2020-04-22",1.23,"3",23
"2020-04-23",1.25,"4",-83
"2020-04-23",1.25,"5",-35
"2020-04-23",1.25,"6",-92
"2020-04-23",1.25,"1",-62
"2020-04-23",1.25,"2",-49
"2020-04-23",1.25,"3",24
"2020-04-24",1.23,"4",-83
"2020-04-24",1.23,"5",-34
"2020-04-24",1.23,"6",-92
"2020-04-24",1.23,"1",-63
"2020-04-24",1.23,"2",-48
"2020-04-24",1.23,"3",27
"2020-04-25",1.21,"4",-86
"2020-04-25",1.21,"5",-39
"2020-04-25",1.21,"6",-94
"2020-04-25",1.21,"1",-68
"2020-04-25",1.21,"2",-44
"2020-04-25",1.21,"3",26
"2020-04-26",1.18,"4",-88
"2020-04-26",1.18,"5",-52
"2020-04-26",1.18,"6",-95
"2020-04-26",1.18,"1",-72
"2020-04-26",1.18,"2",-47
"2020-04-26",1.18,"3",25
"2020-04-27",1.16,"4",-84
"2020-04-27",1.16,"5",-40
"2020-04-27",1.16,"6",-93
"2020-04-27",1.16,"1",-64
"2020-04-27",1.16,"2",-47
"2020-04-27",1.16,"3",24
"2020-04-28",1.14,"4",-84
"2020-04-28",1.14,"5",-41
"2020-04-28",1.14,"6",-92
"2020-04-28",1.14,"1",-68
"2020-04-28",1.14,"2",-49
"2020-04-28",1.14,"3",20
"2020-04-29",1.13,"4",-80
"2020-04-29",1.13,"5",-27
"2020-04-29",1.13,"6",-90
"2020-04-29",1.13,"1",-57
"2020-04-29",1.13,"2",-44
"2020-04-29",1.13,"3",21
"2020-04-30",1.11,"4",-75
"2020-04-30",1.11,"5",-20
"2020-04-30",1.11,"6",-90
"2020-04-30",1.11,"1",-56
"2020-04-30",1.11,"2",-44
"2020-04-30",1.11,"3",22
"2020-05-01",1.12,"4",-90
"2020-05-01",1.12,"5",-71
"2020-05-01",1.12,"6",-94
"2020-05-01",1.12,"1",-78
"2020-05-01",1.12,"2",-73
"2020-05-01",1.12,"3",33
"2020-05-02",1.13,"4",-79
"2020-05-02",1.13,"5",-26
"2020-05-02",1.13,"6",-93
"2020-05-02",1.13,"1",-60
"2020-05-02",1.13,"2",-39
"2020-05-02",1.13,"3",24
"2020-05-03",1.15,"4",-86
"2020-05-03",1.15,"5",-48
"2020-05-03",1.15,"6",-95
"2020-05-03",1.15,"1",-71
"2020-05-03",1.15,"2",-42
"2020-05-03",1.15,"3",24
"2020-05-04",1.17,"4",-77
"2020-05-04",1.17,"5",-32
"2020-05-04",1.17,"6",-91
"2020-05-04",1.17,"1",-61
"2020-05-04",1.17,"2",-42
"2020-05-04",1.17,"3",21
"2020-05-05",1.2,"4",-76
"2020-05-05",1.2,"5",-28
"2020-05-05",1.2,"6",-90
"2020-05-05",1.2,"1",-58
"2020-05-05",1.2,"2",-43
"2020-05-05",1.2,"3",21
"2020-05-06",1.24,"4",-75
"2020-05-06",1.24,"5",-25
"2020-05-06",1.24,"6",-89
"2020-05-06",1.24,"1",-55
"2020-05-06",1.24,"2",-40
"2020-05-06",1.24,"3",20
"2020-05-07",1.27,"4",-73
"2020-05-07",1.27,"5",-23
"2020-05-07",1.27,"6",-89
"2020-05-07",1.27,"1",-55
"2020-05-07",1.27,"2",-40
"2020-05-07",1.27,"3",21
"2020-05-08",1.31,"4",-72
"2020-05-08",1.31,"5",-18
"2020-05-08",1.31,"6",-89
"2020-05-08",1.31,"1",-53
"2020-05-08",1.31,"2",-38
"2020-05-08",1.31,"3",23
"2020-05-09",1.33,"4",-75
"2020-05-09",1.33,"5",-20
"2020-05-09",1.33,"6",-91
"2020-05-09",1.33,"1",-53
"2020-05-09",1.33,"2",-31
"2020-05-09",1.33,"3",21
"2020-05-10",1.37,"4",-82
"2020-05-10",1.37,"5",-41
"2020-05-10",1.37,"6",-93
"2020-05-10",1.37,"1",-65
"2020-05-10",1.37,"2",-35
"2020-05-10",1.37,"3",21
"2020-05-11",1.39,"4",-71
"2020-05-11",1.39,"5",-24
"2020-05-11",1.39,"6",-88
"2020-05-11",1.39,"1",-53
"2020-05-11",1.39,"2",-36
"2020-05-11",1.39,"3",19
"2020-05-12",1.4,"4",-70
"2020-05-12",1.4,"5",-21
"2020-05-12",1.4,"6",-88
"2020-05-12",1.4,"1",-51
"2020-05-12",1.4,"2",-36
"2020-05-12",1.4,"3",19
"2020-05-13",1.4,"4",-70
"2020-05-13",1.4,"5",-22
"2020-05-13",1.4,"6",-87
"2020-05-13",1.4,"1",-52
"2020-05-13",1.4,"2",-35
"2020-05-13",1.4,"3",19
"2020-05-14",1.4,"4",-70
"2020-05-14",1.4,"5",-23
"2020-05-14",1.4,"6",-88
"2020-05-14",1.4,"1",-53
"2020-05-14",1.4,"2",-35
"2020-05-14",1.4,"3",18
"2020-05-15",1.41,"4",-70
"2020-05-15",1.41,"5",-18
"2020-05-15",1.41,"6",-88
