"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-11",2.16,"1",6
"2020-03-11",2.16,"2",14
"2020-03-11",2.16,"3",-1
"2020-03-12",2.2,"4",-1
"2020-03-12",2.2,"5",11
"2020-03-12",2.2,"6",2
"2020-03-12",2.2,"1",6
"2020-03-12",2.2,"2",13
"2020-03-12",2.2,"3",-1
"2020-03-13",2.32,"4",1
"2020-03-13",2.32,"5",17
"2020-03-13",2.32,"6",-8
"2020-03-13",2.32,"1",5
"2020-03-13",2.32,"2",14
"2020-03-13",2.32,"3",-1
"2020-03-14",2.31,"4",-1
"2020-03-14",2.31,"5",20
"2020-03-14",2.31,"6",-15
"2020-03-14",2.31,"1",-10
"2020-03-14",2.31,"2",3
"2020-03-14",2.31,"3",2
"2020-03-15",2.32,"4",-2
"2020-03-15",2.32,"5",24
"2020-03-15",2.32,"6",-8
"2020-03-15",2.32,"1",-13
"2020-03-15",2.32,"2",-1
"2020-03-15",2.32,"3",2
"2020-03-16",2.37,"4",-1
"2020-03-16",2.37,"5",33
"2020-03-16",2.37,"6",-18
"2020-03-16",2.37,"1",-7
"2020-03-16",2.37,"2",12
"2020-03-16",2.37,"3",1
"2020-03-17",2.38,"4",-5
"2020-03-17",2.38,"5",35
"2020-03-17",2.38,"6",-21
"2020-03-17",2.38,"1",-14
"2020-03-17",2.38,"2",5
"2020-03-17",2.38,"3",3
"2020-03-18",2.41,"4",-7
"2020-03-18",2.41,"5",32
"2020-03-18",2.41,"6",-15
"2020-03-18",2.41,"1",-18
"2020-03-18",2.41,"2",2
"2020-03-18",2.41,"3",5
"2020-03-19",2.41,"4",-10
"2020-03-19",2.41,"5",25
"2020-03-19",2.41,"6",-9
"2020-03-19",2.41,"1",-22
"2020-03-19",2.41,"2",0
"2020-03-19",2.41,"3",5
"2020-03-20",2.39,"4",-12
"2020-03-20",2.39,"5",20
"2020-03-20",2.39,"6",-12
"2020-03-20",2.39,"1",-22
"2020-03-20",2.39,"2",0
"2020-03-20",2.39,"3",6
"2020-03-21",2.44,"4",-17
"2020-03-21",2.44,"5",11
"2020-03-21",2.44,"6",-9
"2020-03-21",2.44,"1",-28
"2020-03-21",2.44,"2",-4
"2020-03-21",2.44,"3",7
"2020-03-22",2.4,"4",-18
"2020-03-22",2.4,"5",10
"2020-03-22",2.4,"6",-11
"2020-03-22",2.4,"1",-34
"2020-03-22",2.4,"2",-12
"2020-03-22",2.4,"3",6
"2020-03-23",2.23,"4",-17
"2020-03-23",2.23,"5",17
"2020-03-23",2.23,"6",-27
"2020-03-23",2.23,"1",-36
"2020-03-23",2.23,"2",-6
"2020-03-23",2.23,"3",8
"2020-03-24",2.12,"4",-30
"2020-03-24",2.12,"5",4
"2020-03-24",2.12,"6",-30
"2020-03-24",2.12,"1",-45
"2020-03-24",2.12,"2",-19
"2020-03-24",2.12,"3",12
"2020-03-25",1.99,"4",-31
"2020-03-25",1.99,"5",2
"2020-03-25",1.99,"6",-33
"2020-03-25",1.99,"1",-50
"2020-03-25",1.99,"2",-23
"2020-03-25",1.99,"3",14
"2020-03-26",1.87,"4",-34
"2020-03-26",1.87,"5",2
"2020-03-26",1.87,"6",-23
"2020-03-26",1.87,"1",-53
"2020-03-26",1.87,"2",-27
"2020-03-26",1.87,"3",16
"2020-03-27",1.71,"4",-35
"2020-03-27",1.71,"5",2
"2020-03-27",1.71,"6",-30
"2020-03-27",1.71,"1",-53
"2020-03-27",1.71,"2",-26
"2020-03-27",1.71,"3",17
"2020-03-28",1.57,"4",-41
"2020-03-28",1.57,"5",-9
"2020-03-28",1.57,"6",-34
"2020-03-28",1.57,"1",-53
"2020-03-28",1.57,"2",-27
"2020-03-28",1.57,"3",15
"2020-03-29",1.43,"4",-45
"2020-03-29",1.43,"5",-19
"2020-03-29",1.43,"6",-35
"2020-03-29",1.43,"1",-58
"2020-03-29",1.43,"2",-33
"2020-03-29",1.43,"3",13
"2020-03-30",1.32,"4",-39
"2020-03-30",1.32,"5",-13
"2020-03-30",1.32,"6",-35
"2020-03-30",1.32,"1",-59
"2020-03-30",1.32,"2",-32
"2020-03-30",1.32,"3",16
"2020-03-31",1.2,"4",-41
"2020-03-31",1.2,"5",-13
"2020-03-31",1.2,"6",-35
"2020-03-31",1.2,"1",-59
"2020-03-31",1.2,"2",-36
"2020-03-31",1.2,"3",18
"2020-04-01",1.1,"4",-40
"2020-04-01",1.1,"5",-13
"2020-04-01",1.1,"6",-36
"2020-04-01",1.1,"1",-60
"2020-04-01",1.1,"2",-37
"2020-04-01",1.1,"3",19
"2020-04-02",1,"4",-42
"2020-04-02",1,"5",-13
"2020-04-02",1,"6",-42
"2020-04-02",1,"1",-63
"2020-04-02",1,"2",-38
"2020-04-02",1,"3",20
"2020-04-03",0.89,"4",-40
"2020-04-03",0.89,"5",-7
"2020-04-03",0.89,"6",-41
"2020-04-03",0.89,"1",-61
"2020-04-03",0.89,"2",-36
"2020-04-03",0.89,"3",20
"2020-04-04",0.8,"4",-44
"2020-04-04",0.8,"5",-14
"2020-04-04",0.8,"6",-52
"2020-04-04",0.8,"1",-61
"2020-04-04",0.8,"2",-33
"2020-04-04",0.8,"3",17
"2020-04-05",0.73,"4",-44
"2020-04-05",0.73,"5",-18
"2020-04-05",0.73,"6",-43
"2020-04-05",0.73,"1",-62
"2020-04-05",0.73,"2",-36
"2020-04-05",0.73,"3",14
"2020-04-06",0.68,"4",-37
"2020-04-06",0.68,"5",-12
"2020-04-06",0.68,"6",-35
"2020-04-06",0.68,"1",-61
"2020-04-06",0.68,"2",-37
"2020-04-06",0.68,"3",17
"2020-04-07",0.64,"4",-38
"2020-04-07",0.64,"5",-10
"2020-04-07",0.64,"6",-39
"2020-04-07",0.64,"1",-61
"2020-04-07",0.64,"2",-39
"2020-04-07",0.64,"3",19
"2020-04-08",0.6,"4",-35
"2020-04-08",0.6,"5",-6
"2020-04-08",0.6,"6",-38
"2020-04-08",0.6,"1",-61
"2020-04-08",0.6,"2",-39
"2020-04-08",0.6,"3",19
"2020-04-09",0.56,"4",-28
"2020-04-09",0.56,"5",15
"2020-04-09",0.56,"6",-31
"2020-04-09",0.56,"1",-59
"2020-04-09",0.56,"2",-40
"2020-04-09",0.56,"3",18
"2020-04-10",0.51,"4",-76
"2020-04-10",0.51,"5",-55
"2020-04-10",0.51,"6",-43
"2020-04-10",0.51,"1",-77
"2020-04-10",0.51,"2",-82
"2020-04-10",0.51,"3",33
"2020-04-11",0.47,"4",-40
"2020-04-11",0.47,"5",-2
"2020-04-11",0.47,"6",-51
"2020-04-11",0.47,"1",-63
"2020-04-11",0.47,"2",-41
"2020-04-11",0.47,"3",18
"2020-04-12",0.44,"4",-58
"2020-04-12",0.44,"5",-38
"2020-04-12",0.44,"6",-42
"2020-04-12",0.44,"1",-64
"2020-04-12",0.44,"2",-43
"2020-04-12",0.44,"3",15
"2020-04-13",0.43,"4",-45
"2020-04-13",0.43,"5",-23
"2020-04-13",0.43,"6",-18
"2020-04-13",0.43,"1",-73
"2020-04-13",0.43,"2",-78
"2020-04-13",0.43,"3",27
"2020-04-14",0.43,"4",-37
"2020-04-14",0.43,"5",-7
"2020-04-14",0.43,"6",-35
"2020-04-14",0.43,"1",-61
"2020-04-14",0.43,"2",-42
"2020-04-14",0.43,"3",19
"2020-04-15",0.42,"4",-37
"2020-04-15",0.42,"5",-10
