"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-07",2.62,"1",8
"2020-03-07",2.62,"2",2
"2020-03-07",2.62,"3",0
"2020-03-08",2.59,"4",-1
"2020-03-08",2.59,"5",1
"2020-03-08",2.59,"6",-21
"2020-03-08",2.59,"1",-2
"2020-03-08",2.59,"2",-1
"2020-03-08",2.59,"3",0
"2020-03-09",2.58,"4",-1
"2020-03-09",2.58,"5",4
"2020-03-09",2.58,"6",6
"2020-03-09",2.58,"1",-1
"2020-03-09",2.58,"2",2
"2020-03-09",2.58,"3",0
"2020-03-10",2.58,"4",-4
"2020-03-10",2.58,"5",4
"2020-03-10",2.58,"6",-5
"2020-03-10",2.58,"1",-4
"2020-03-10",2.58,"2",1
"2020-03-10",2.58,"3",2
"2020-03-11",2.61,"4",-4
"2020-03-11",2.61,"5",4
"2020-03-11",2.61,"6",-3
"2020-03-11",2.61,"1",-4
"2020-03-11",2.61,"2",1
"2020-03-11",2.61,"3",2
"2020-03-12",2.67,"4",-7
"2020-03-12",2.67,"5",23
"2020-03-12",2.67,"6",4
"2020-03-12",2.67,"1",-7
"2020-03-12",2.67,"2",-1
"2020-03-12",2.67,"3",3
"2020-03-13",2.77,"4",-8
"2020-03-13",2.77,"5",40
"2020-03-13",2.77,"6",-5
"2020-03-13",2.77,"1",-16
"2020-03-13",2.77,"2",-7
"2020-03-13",2.77,"3",5
"2020-03-14",2.72,"4",-70
"2020-03-14",2.72,"5",-8
"2020-03-14",2.72,"6",0
"2020-03-14",2.72,"1",-34
"2020-03-14",2.72,"2",-27
"2020-03-14",2.72,"3",12
"2020-03-15",2.68,"4",-66
"2020-03-15",2.68,"5",-18
"2020-03-15",2.68,"6",20
"2020-03-15",2.68,"1",-34
"2020-03-15",2.68,"2",-29
"2020-03-15",2.68,"3",8
"2020-03-16",2.62,"4",-32
"2020-03-16",2.62,"5",16
"2020-03-16",2.62,"6",7
"2020-03-16",2.62,"1",-43
"2020-03-16",2.62,"2",-36
"2020-03-16",2.62,"3",14
"2020-03-17",2.56,"4",-36
"2020-03-17",2.56,"5",30
"2020-03-17",2.56,"6",31
"2020-03-17",2.56,"1",-46
"2020-03-17",2.56,"2",-45
"2020-03-17",2.56,"3",16
"2020-03-18",2.49,"4",-61
"2020-03-18",2.49,"5",-12
"2020-03-18",2.49,"6",7
"2020-03-18",2.49,"1",-56
"2020-03-18",2.49,"2",-52
"2020-03-18",2.49,"3",20
"2020-03-19",2.42,"4",-75
"2020-03-19",2.42,"5",-23
"2020-03-19",2.42,"6",-19
"2020-03-19",2.42,"1",-67
"2020-03-19",2.42,"2",-61
"2020-03-19",2.42,"3",27
"2020-03-20",2.33,"4",-79
"2020-03-20",2.33,"5",-22
"2020-03-20",2.33,"6",-50
"2020-03-20",2.33,"1",-71
"2020-03-20",2.33,"2",-62
"2020-03-20",2.33,"3",31
"2020-03-21",2.3,"4",-84
"2020-03-21",2.3,"5",-39
"2020-03-21",2.3,"6",-34
"2020-03-21",2.3,"1",-67
"2020-03-21",2.3,"2",-51
"2020-03-21",2.3,"3",22
"2020-03-22",2.26,"4",-79
"2020-03-22",2.26,"5",-45
"2020-03-22",2.26,"6",-20
"2020-03-22",2.26,"1",-63
"2020-03-22",2.26,"2",-48
"2020-03-22",2.26,"3",15
"2020-03-23",2.22,"4",-74
"2020-03-23",2.22,"5",-25
"2020-03-23",2.22,"6",-20
"2020-03-23",2.22,"1",-70
"2020-03-23",2.22,"2",-65
"2020-03-23",2.22,"3",26
"2020-03-24",2.19,"4",-74
"2020-03-24",2.19,"5",-21
"2020-03-24",2.19,"6",-8
"2020-03-24",2.19,"1",-69
"2020-03-24",2.19,"2",-66
"2020-03-24",2.19,"3",27
"2020-03-25",2.15,"4",-76
"2020-03-25",2.15,"5",-29
"2020-03-25",2.15,"6",-19
"2020-03-25",2.15,"1",-69
"2020-03-25",2.15,"2",-65
"2020-03-25",2.15,"3",26
