"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-14",2.45,"1",0
"2020-03-14",2.45,"2",6
"2020-03-14",2.45,"3",1
"2020-03-15",2.49,"4",-8
"2020-03-15",2.49,"5",7
"2020-03-15",2.49,"6",-21
"2020-03-15",2.49,"1",-7
"2020-03-15",2.49,"2",0
"2020-03-15",2.49,"3",3
"2020-03-16",2.57,"4",-11
"2020-03-16",2.57,"5",6
"2020-03-16",2.57,"6",-23
"2020-03-16",2.57,"1",-4
"2020-03-16",2.57,"2",14
"2020-03-16",2.57,"3",1
"2020-03-17",2.64,"4",-19
"2020-03-17",2.64,"5",7
"2020-03-17",2.64,"6",-28
"2020-03-17",2.64,"1",-15
"2020-03-17",2.64,"2",3
"2020-03-17",2.64,"3",4
"2020-03-18",2.66,"4",-25
"2020-03-18",2.66,"5",5
"2020-03-18",2.66,"6",-28
"2020-03-18",2.66,"1",-22
"2020-03-18",2.66,"2",-6
"2020-03-18",2.66,"3",7
"2020-03-19",2.7,"4",-36
"2020-03-19",2.7,"5",2
"2020-03-19",2.7,"6",-34
"2020-03-19",2.7,"1",-31
"2020-03-19",2.7,"2",-17
"2020-03-19",2.7,"3",10
"2020-03-20",2.67,"4",-45
"2020-03-20",2.67,"5",0
"2020-03-20",2.67,"6",-45
"2020-03-20",2.67,"1",-37
"2020-03-20",2.67,"2",-21
"2020-03-20",2.67,"3",13
"2020-03-21",2.64,"4",-63
"2020-03-21",2.64,"5",-16
"2020-03-21",2.64,"6",-66
"2020-03-21",2.64,"1",-50
"2020-03-21",2.64,"2",-30
"2020-03-21",2.64,"3",16
"2020-03-22",2.58,"4",-72
"2020-03-22",2.58,"5",-33
"2020-03-22",2.58,"6",-75
"2020-03-22",2.58,"1",-60
"2020-03-22",2.58,"2",-34
"2020-03-22",2.58,"3",17
"2020-03-23",2.47,"4",-65
"2020-03-23",2.47,"5",-26
"2020-03-23",2.47,"6",-61
"2020-03-23",2.47,"1",-58
"2020-03-23",2.47,"2",-42
"2020-03-23",2.47,"3",20
"2020-03-24",2.35,"4",-71
"2020-03-24",2.35,"5",-33
"2020-03-24",2.35,"6",-62
"2020-03-24",2.35,"1",-63
"2020-03-24",2.35,"2",-51
"2020-03-24",2.35,"3",22
"2020-03-25",2.26,"4",-69
"2020-03-25",2.26,"5",-32
"2020-03-25",2.26,"6",-57
"2020-03-25",2.26,"1",-63
"2020-03-25",2.26,"2",-52
"2020-03-25",2.26,"3",23
"2020-03-26",2.18,"4",-69
"2020-03-26",2.18,"5",-29
"2020-03-26",2.18,"6",-54
"2020-03-26",2.18,"1",-62
"2020-03-26",2.18,"2",-50
"2020-03-26",2.18,"3",22
"2020-03-27",2.14,"4",-67
"2020-03-27",2.14,"5",-26
"2020-03-27",2.14,"6",-56
"2020-03-27",2.14,"1",-60
"2020-03-27",2.14,"2",-48
"2020-03-27",2.14,"3",23
"2020-03-28",2.1,"4",-70
"2020-03-28",2.1,"5",-27
"2020-03-28",2.1,"6",-64
"2020-03-28",2.1,"1",-59
"2020-03-28",2.1,"2",-41
"2020-03-28",2.1,"3",19
"2020-03-29",2.06,"4",-71
"2020-03-29",2.06,"5",-35
"2020-03-29",2.06,"6",-70
"2020-03-29",2.06,"1",-62
"2020-03-29",2.06,"2",-34
"2020-03-29",2.06,"3",17
"2020-03-30",2.04,"4",-62
"2020-03-30",2.04,"5",-26
"2020-03-30",2.04,"6",-55
"2020-03-30",2.04,"1",-59
"2020-03-30",2.04,"2",-43
"2020-03-30",2.04,"3",20
"2020-03-31",2.02,"4",-60
"2020-03-31",2.02,"5",-21
"2020-03-31",2.02,"6",-53
"2020-03-31",2.02,"1",-58
"2020-03-31",2.02,"2",-45
"2020-03-31",2.02,"3",19
"2020-04-01",1.99,"4",-58
"2020-04-01",1.99,"5",-19
"2020-04-01",1.99,"6",-48
"2020-04-01",1.99,"1",-57
"2020-04-01",1.99,"2",-45
"2020-04-01",1.99,"3",20
"2020-04-02",1.94,"4",-59
"2020-04-02",1.94,"5",-17
"2020-04-02",1.94,"6",-48
"2020-04-02",1.94,"1",-57
"2020-04-02",1.94,"2",-45
"2020-04-02",1.94,"3",20
"2020-04-03",1.9,"4",-60
"2020-04-03",1.9,"5",-14
"2020-04-03",1.9,"6",-52
"2020-04-03",1.9,"1",-55
"2020-04-03",1.9,"2",-42
"2020-04-03",1.9,"3",20
"2020-04-04",1.86,"4",-63
"2020-04-04",1.86,"5",-13
"2020-04-04",1.86,"6",-60
"2020-04-04",1.86,"1",-53
"2020-04-04",1.86,"2",-35
"2020-04-04",1.86,"3",16
"2020-04-05",1.81,"4",-67
"2020-04-05",1.81,"5",-24
"2020-04-05",1.81,"6",-66
"2020-04-05",1.81,"1",-57
"2020-04-05",1.81,"2",-30
"2020-04-05",1.81,"3",15
"2020-04-06",1.78,"4",-56
"2020-04-06",1.78,"5",-14
"2020-04-06",1.78,"6",-53
"2020-04-06",1.78,"1",-53
"2020-04-06",1.78,"2",-38
"2020-04-06",1.78,"3",18
"2020-04-07",1.74,"4",-53
"2020-04-07",1.74,"5",-8
"2020-04-07",1.74,"6",-50
"2020-04-07",1.74,"1",-53
"2020-04-07",1.74,"2",-40
"2020-04-07",1.74,"3",17
"2020-04-08",1.7,"4",-52
"2020-04-08",1.7,"5",-7
"2020-04-08",1.7,"6",-46
"2020-04-08",1.7,"1",-52
"2020-04-08",1.7,"2",-40
"2020-04-08",1.7,"3",18
"2020-04-09",1.66,"4",-49
"2020-04-09",1.66,"5",11
"2020-04-09",1.66,"6",-40
"2020-04-09",1.66,"1",-49
"2020-04-09",1.66,"2",-41
"2020-04-09",1.66,"3",16
"2020-04-10",1.62,"4",-76
"2020-04-10",1.62,"5",-38
"2020-04-10",1.62,"6",-58
"2020-04-10",1.62,"1",-69
"2020-04-10",1.62,"2",-72
"2020-04-10",1.62,"3",27
"2020-04-11",1.59,"4",-59
"2020-04-11",1.59,"5",-5
"2020-04-11",1.59,"6",-59
"2020-04-11",1.59,"1",-52
"2020-04-11",1.59,"2",-36
"2020-04-11",1.59,"3",16
"2020-04-12",1.57,"4",-67
"2020-04-12",1.57,"5",-25
"2020-04-12",1.57,"6",-67
"2020-04-12",1.57,"1",-55
"2020-04-12",1.57,"2",-26
"2020-04-12",1.57,"3",13
"2020-04-13",1.55,"4",-54
"2020-04-13",1.55,"5",-19
"2020-04-13",1.55,"6",-52
"2020-04-13",1.55,"1",-53
"2020-04-13",1.55,"2",-35
"2020-04-13",1.55,"3",17
"2020-04-14",1.54,"4",-56
"2020-04-14",1.54,"5",-20
"2020-04-14",1.54,"6",-54
"2020-04-14",1.54,"1",-55
"2020-04-14",1.54,"2",-39
"2020-04-14",1.54,"3",18
"2020-04-15",1.54,"4",-54
"2020-04-15",1.54,"5",-17
"2020-04-15",1.54,"6",-47
"2020-04-15",1.54,"1",-53
"2020-04-15",1.54,"2",-38
"2020-04-15",1.54,"3",18
"2020-04-16",1.52,"4",-56
"2020-04-16",1.52,"5",-14
"2020-04-16",1.52,"6",-46
"2020-04-16",1.52,"1",-53
"2020-04-16",1.52,"2",-38
"2020-04-16",1.52,"3",18
"2020-04-17",1.52,"4",-55
"2020-04-17",1.52,"5",-11
"2020-04-17",1.52,"6",-50
"2020-04-17",1.52,"1",-51
"2020-04-17",1.52,"2",-36
"2020-04-17",1.52,"3",19
"2020-04-18",1.51,"4",-61
"2020-04-18",1.51,"5",-15
"2020-04-18",1.51,"6",-59
"2020-04-18",1.51,"1",-50
"2020-04-18",1.51,"2",-28
"2020-04-18",1.51,"3",15
"2020-04-19",1.5,"4",-67
"2020-04-19",1.5,"5",-23
"2020-04-19",1.5,"6",-64
"2020-04-19",1.5,"1",-56
"2020-04-19",1.5,"2",-25
"2020-04-19",1.5,"3",14
"2020-04-20",1.48,"4",-53
"2020-04-20",1.48,"5",-11
"2020-04-20",1.48,"6",-47
"2020-04-20",1.48,"1",-53
"2020-04-20",1.48,"2",-39
"2020-04-20",1.48,"3",17
"2020-04-21",1.47,"4",-71
"2020-04-21",1.47,"5",-37
"2020-04-21",1.47,"6",-51
"2020-04-21",1.47,"1",-68
"2020-04-21",1.47,"2",-67
"2020-04-21",1.47,"3",23
"2020-04-22",1.48,"4",-53
"2020-04-22",1.48,"5",-15
"2020-04-22",1.48,"6",-45
