"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-19",2.2,"1",-29
"2020-03-19",2.2,"2",-24
"2020-03-19",2.2,"3",11
"2020-03-20",2.22,"4",-62
"2020-03-20",2.22,"5",-29
"2020-03-20",2.22,"6",-51
"2020-03-20",2.22,"1",-63
"2020-03-20",2.22,"2",-47
"2020-03-20",2.22,"3",25
"2020-03-21",2.19,"4",-83
"2020-03-21",2.19,"5",-55
"2020-03-21",2.19,"6",-75
"2020-03-21",2.19,"1",-78
"2020-03-21",2.19,"2",-65
"2020-03-21",2.19,"3",30
"2020-03-22",2.15,"4",-85
"2020-03-22",2.15,"5",-64
"2020-03-22",2.15,"6",-79
"2020-03-22",2.15,"1",-77
"2020-03-22",2.15,"2",-55
"2020-03-22",2.15,"3",25
"2020-03-23",2.12,"4",-86
"2020-03-23",2.12,"5",-66
"2020-03-23",2.12,"6",-77
"2020-03-23",2.12,"1",-84
"2020-03-23",2.12,"2",-82
"2020-03-23",2.12,"3",37
"2020-03-24",2.08,"4",-71
"2020-03-24",2.08,"5",-41
"2020-03-24",2.08,"6",-60
"2020-03-24",2.08,"1",-65
"2020-03-24",2.08,"2",-62
"2020-03-24",2.08,"3",28
"2020-03-25",1.97,"4",-83
"2020-03-25",1.97,"5",-64
"2020-03-25",1.97,"6",-75
"2020-03-25",1.97,"1",-80
"2020-03-25",1.97,"2",-75
"2020-03-25",1.97,"3",35
"2020-03-26",1.86,"4",-82
"2020-03-26",1.86,"5",-61
"2020-03-26",1.86,"6",-74
"2020-03-26",1.86,"1",-80
"2020-03-26",1.86,"2",-75
"2020-03-26",1.86,"3",35
"2020-03-27",1.78,"4",-82
"2020-03-27",1.78,"5",-59
"2020-03-27",1.78,"6",-74
"2020-03-27",1.78,"1",-80
"2020-03-27",1.78,"2",-73
"2020-03-27",1.78,"3",38
"2020-03-28",1.78,"4",-84
"2020-03-28",1.78,"5",-61
"2020-03-28",1.78,"6",-76
"2020-03-28",1.78,"1",-80
"2020-03-28",1.78,"2",-68
"2020-03-28",1.78,"3",31
"2020-03-29",1.79,"4",-86
"2020-03-29",1.79,"5",-68
"2020-03-29",1.79,"6",-80
"2020-03-29",1.79,"1",-82
"2020-03-29",1.79,"2",-58
"2020-03-29",1.79,"3",26
"2020-03-30",1.76,"4",-79
"2020-03-30",1.76,"5",-56
"2020-03-30",1.76,"6",-71
"2020-03-30",1.76,"1",-79
"2020-03-30",1.76,"2",-73
"2020-03-30",1.76,"3",34
"2020-03-31",1.7,"4",-78
"2020-03-31",1.7,"5",-52
"2020-03-31",1.7,"6",-69
"2020-03-31",1.7,"1",-78
"2020-03-31",1.7,"2",-72
"2020-03-31",1.7,"3",34
"2020-04-01",1.67,"4",-78
"2020-04-01",1.67,"5",-53
"2020-04-01",1.67,"6",-69
"2020-04-01",1.67,"1",-78
"2020-04-01",1.67,"2",-73
"2020-04-01",1.67,"3",33
"2020-04-02",1.63,"4",-78
"2020-04-02",1.63,"5",-51
"2020-04-02",1.63,"6",-68
"2020-04-02",1.63,"1",-78
"2020-04-02",1.63,"2",-73
"2020-04-02",1.63,"3",34
"2020-04-03",1.57,"4",-79
"2020-04-03",1.57,"5",-53
"2020-04-03",1.57,"6",-71
"2020-04-03",1.57,"1",-78
"2020-04-03",1.57,"2",-71
"2020-04-03",1.57,"3",36
"2020-04-04",1.54,"4",-82
"2020-04-04",1.54,"5",-58
"2020-04-04",1.54,"6",-74
"2020-04-04",1.54,"1",-79
"2020-04-04",1.54,"2",-66
"2020-04-04",1.54,"3",31
"2020-04-05",1.52,"4",-85
"2020-04-05",1.52,"5",-66
"2020-04-05",1.52,"6",-79
"2020-04-05",1.52,"1",-81
"2020-04-05",1.52,"2",-57
"2020-04-05",1.52,"3",26
"2020-04-06",1.52,"4",-77
"2020-04-06",1.52,"5",-54
"2020-04-06",1.52,"6",-69
"2020-04-06",1.52,"1",-78
"2020-04-06",1.52,"2",-72
"2020-04-06",1.52,"3",34
"2020-04-07",1.54,"4",-76
"2020-04-07",1.54,"5",-49
"2020-04-07",1.54,"6",-67
"2020-04-07",1.54,"1",-76
"2020-04-07",1.54,"2",-71
"2020-04-07",1.54,"3",33
"2020-04-08",1.53,"4",-76
"2020-04-08",1.53,"5",-47
"2020-04-08",1.53,"6",-65
"2020-04-08",1.53,"1",-76
"2020-04-08",1.53,"2",-72
"2020-04-08",1.53,"3",32
"2020-04-09",1.48,"4",-85
"2020-04-09",1.48,"5",-63
"2020-04-09",1.48,"6",-76
"2020-04-09",1.48,"1",-85
"2020-04-09",1.48,"2",-83
"2020-04-09",1.48,"3",38
"2020-04-10",1.41,"4",-90
"2020-04-10",1.41,"5",-75
"2020-04-10",1.41,"6",-82
"2020-04-10",1.41,"1",-88
"2020-04-10",1.41,"2",-85
"2020-04-10",1.41,"3",42
"2020-04-11",1.31,"4",-84
"2020-04-11",1.31,"5",-65
"2020-04-11",1.31,"6",-77
"2020-04-11",1.31,"1",-81
"2020-04-11",1.31,"2",-69
"2020-04-11",1.31,"3",32
"2020-04-12",1.2,"4",-86
"2020-04-12",1.2,"5",-70
"2020-04-12",1.2,"6",-80
"2020-04-12",1.2,"1",-81
"2020-04-12",1.2,"2",-57
"2020-04-12",1.2,"3",26
"2020-04-13",1.13,"4",-77
"2020-04-13",1.13,"5",-55
"2020-04-13",1.13,"6",-69
"2020-04-13",1.13,"1",-77
"2020-04-13",1.13,"2",-69
"2020-04-13",1.13,"3",33
"2020-04-14",1.1,"4",-77
"2020-04-14",1.1,"5",-54
"2020-04-14",1.1,"6",-69
"2020-04-14",1.1,"1",-77
"2020-04-14",1.1,"2",-69
"2020-04-14",1.1,"3",33
"2020-04-15",1.1,"4",-76
"2020-04-15",1.1,"5",-52
"2020-04-15",1.1,"6",-67
"2020-04-15",1.1,"1",-76
"2020-04-15",1.1,"2",-69
"2020-04-15",1.1,"3",32
"2020-04-16",1.14,"4",-77
"2020-04-16",1.14,"5",-52
"2020-04-16",1.14,"6",-67
"2020-04-16",1.14,"1",-77
"2020-04-16",1.14,"2",-69
"2020-04-16",1.14,"3",33
"2020-04-17",1.18,"4",-76
"2020-04-17",1.18,"5",-49
"2020-04-17",1.18,"6",-67
"2020-04-17",1.18,"1",-75
"2020-04-17",1.18,"2",-66
"2020-04-17",1.18,"3",35
"2020-04-18",1.21,"4",-83
"2020-04-18",1.21,"5",-64
"2020-04-18",1.21,"6",-75
"2020-04-18",1.21,"1",-77
"2020-04-18",1.21,"2",-62
"2020-04-18",1.21,"3",30
"2020-04-19",1.23,"4",-84
"2020-04-19",1.23,"5",-69
"2020-04-19",1.23,"6",-79
"2020-04-19",1.23,"1",-79
"2020-04-19",1.23,"2",-54
"2020-04-19",1.23,"3",25
"2020-04-20",1.24,"4",-76
"2020-04-20",1.24,"5",-57
"2020-04-20",1.24,"6",-68
"2020-04-20",1.24,"1",-76
"2020-04-20",1.24,"2",-66
"2020-04-20",1.24,"3",32
"2020-04-21",1.24,"4",-76
"2020-04-21",1.24,"5",-55
"2020-04-21",1.24,"6",-68
"2020-04-21",1.24,"1",-74
"2020-04-21",1.24,"2",-66
"2020-04-21",1.24,"3",32
"2020-04-22",1.27,"4",-77
"2020-04-22",1.27,"5",-58
"2020-04-22",1.27,"6",-68
"2020-04-22",1.27,"1",-76
"2020-04-22",1.27,"2",-66
"2020-04-22",1.27,"3",32
"2020-04-23",1.3,"4",-75
"2020-04-23",1.3,"5",-54
"2020-04-23",1.3,"6",-67
"2020-04-23",1.3,"1",-75
"2020-04-23",1.3,"2",-66
"2020-04-23",1.3,"3",32
"2020-04-24",1.33,"4",-76
"2020-04-24",1.33,"5",-55
"2020-04-24",1.33,"6",-69
"2020-04-24",1.33,"1",-75
"2020-04-24",1.33,"2",-63
"2020-04-24",1.33,"3",34
"2020-04-25",1.34,"4",-79
"2020-04-25",1.34,"5",-60
"2020-04-25",1.34,"6",-73
"2020-04-25",1.34,"1",-74
"2020-04-25",1.34,"2",-57
"2020-04-25",1.34,"3",29
"2020-04-26",1.34,"4",-83
"2020-04-26",1.34,"5",-68
"2020-04-26",1.34,"6",-78
"2020-04-26",1.34,"1",-77
"2020-04-26",1.34,"2",-50
"2020-04-26",1.34,"3",24
"2020-04-27",1.34,"4",-71
"2020-04-27",1.34,"5",-52
"2020-04-27",1.34,"6",-64
"2020-04-27",1.34,"1",-72
"2020-04-27",1.34,"2",-60
"2020-04-27",1.34,"3",30
"2020-04-28",1.35,"4",-72
"2020-04-28",1.35,"5",-51
"2020-04-28",1.35,"6",-63
"2020-04-28",1.35,"1",-71
