"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-02",3,"1",-1
"2020-03-02",3,"2",0
"2020-03-02",3,"3",0
"2020-03-03",3.02,"4",0
"2020-03-03",3.02,"5",5
"2020-03-03",3.02,"6",8
"2020-03-03",3.02,"1",-3
"2020-03-03",3.02,"2",0
"2020-03-03",3.02,"3",1
"2020-03-04",3.07,"4",2
"2020-03-04",3.07,"5",2
"2020-03-04",3.07,"6",14
"2020-03-04",3.07,"1",-4
"2020-03-04",3.07,"2",0
"2020-03-04",3.07,"3",1
"2020-03-05",3.12,"4",-4
"2020-03-05",3.12,"5",0
"2020-03-05",3.12,"6",0
"2020-03-05",3.12,"1",-5
"2020-03-05",3.12,"2",0
"2020-03-05",3.12,"3",1
"2020-03-06",3.05,"4",-3
"2020-03-06",3.05,"5",1
"2020-03-06",3.05,"6",-11
"2020-03-06",3.05,"1",-7
"2020-03-06",3.05,"2",-1
"2020-03-06",3.05,"3",2
"2020-03-07",3.01,"4",1
"2020-03-07",3.01,"5",0
"2020-03-07",3.01,"6",19
"2020-03-07",3.01,"1",-2
"2020-03-07",3.01,"2",0
"2020-03-07",3.01,"3",1
"2020-03-08",2.98,"4",12
"2020-03-08",2.98,"5",19
"2020-03-08",2.98,"6",31
"2020-03-08",2.98,"1",2
"2020-03-08",2.98,"2",1
"2020-03-08",2.98,"3",0
"2020-03-09",2.95,"4",-1
"2020-03-09",2.95,"5",2
"2020-03-09",2.95,"6",7
"2020-03-09",2.95,"1",-5
"2020-03-09",2.95,"2",-1
"2020-03-09",2.95,"3",1
"2020-03-10",2.96,"4",-7
"2020-03-10",2.96,"5",-2
"2020-03-10",2.96,"6",-13
"2020-03-10",2.96,"1",-8
"2020-03-10",2.96,"2",-1
"2020-03-10",2.96,"3",3
"2020-03-11",2.96,"4",-1
"2020-03-11",2.96,"5",2
"2020-03-11",2.96,"6",17
"2020-03-11",2.96,"1",-7
"2020-03-11",2.96,"2",-1
"2020-03-11",2.96,"3",2
"2020-03-12",2.96,"4",-7
"2020-03-12",2.96,"5",6
"2020-03-12",2.96,"6",4
"2020-03-12",2.96,"1",-9
"2020-03-12",2.96,"2",-2
"2020-03-12",2.96,"3",2
"2020-03-13",3.05,"4",-9
"2020-03-13",3.05,"5",19
"2020-03-13",3.05,"6",-3
"2020-03-13",3.05,"1",-15
"2020-03-13",3.05,"2",-4
"2020-03-13",3.05,"3",4
"2020-03-14",2.98,"4",-17
