"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-11",2.01,"1",-10
"2020-03-11",2.01,"2",-1
"2020-03-11",2.01,"3",2
"2020-03-12",1.93,"4",-11
"2020-03-12",1.93,"5",22
"2020-03-12",1.93,"6",-16
"2020-03-12",1.93,"1",-36
"2020-03-12",1.93,"2",-28
"2020-03-12",1.93,"3",12
"2020-03-13",1.8,"4",-28
"2020-03-13",1.8,"5",-7
"2020-03-13",1.8,"6",2
"2020-03-13",1.8,"1",-48
"2020-03-13",1.8,"2",-44
"2020-03-13",1.8,"3",16
"2020-03-14",1.65,"4",-31
"2020-03-14",1.65,"5",-9
"2020-03-14",1.65,"6",86
"2020-03-14",1.65,"1",-36
"2020-03-14",1.65,"2",-16
"2020-03-14",1.65,"3",8
"2020-03-15",1.54,"4",-33
"2020-03-15",1.54,"5",-24
"2020-03-15",1.54,"6",-8
"2020-03-15",1.54,"1",-50
"2020-03-15",1.54,"2",-22
"2020-03-15",1.54,"3",8
"2020-03-16",1.46,"4",-24
"2020-03-16",1.46,"5",-14
"2020-03-16",1.46,"6",50
"2020-03-16",1.46,"1",-52
"2020-03-16",1.46,"2",-50
"2020-03-16",1.46,"3",17
"2020-03-17",1.4,"4",-25
"2020-03-17",1.4,"5",-4
"2020-03-17",1.4,"6",38
"2020-03-17",1.4,"1",-55
"2020-03-17",1.4,"2",-52
"2020-03-17",1.4,"3",18
"2020-03-18",1.35,"4",-41
"2020-03-18",1.35,"5",-21
"2020-03-18",1.35,"6",11
"2020-03-18",1.35,"1",-61
"2020-03-18",1.35,"2",-54
"2020-03-18",1.35,"3",20
"2020-03-19",1.34,"4",-39
"2020-03-19",1.34,"5",-20
"2020-03-19",1.34,"6",104
"2020-03-19",1.34,"1",-58
"2020-03-19",1.34,"2",-55
"2020-03-19",1.34,"3",19
"2020-03-20",1.34,"4",-44
"2020-03-20",1.34,"5",-22
"2020-03-20",1.34,"6",64
"2020-03-20",1.34,"1",-62
"2020-03-20",1.34,"2",-56
"2020-03-20",1.34,"3",21
"2020-03-21",1.35,"4",-48
"2020-03-21",1.35,"5",-21
"2020-03-21",1.35,"6",85
"2020-03-21",1.35,"1",-55
"2020-03-21",1.35,"2",-27
"2020-03-21",1.35,"3",11
"2020-03-22",1.36,"4",-38
"2020-03-22",1.36,"5",-25
"2020-03-22",1.36,"6",49
"2020-03-22",1.36,"1",-60
"2020-03-22",1.36,"2",-28
"2020-03-22",1.36,"3",9
"2020-03-23",1.37,"4",-36
"2020-03-23",1.37,"5",-20
"2020-03-23",1.37,"6",54
"2020-03-23",1.37,"1",-60
"2020-03-23",1.37,"2",-55
"2020-03-23",1.37,"3",19
"2020-03-24",1.39,"4",-36
"2020-03-24",1.39,"5",-18
"2020-03-24",1.39,"6",61
"2020-03-24",1.39,"1",-60
"2020-03-24",1.39,"2",-55
"2020-03-24",1.39,"3",19
"2020-03-25",1.4,"4",-37
"2020-03-25",1.4,"5",-18
"2020-03-25",1.4,"6",67
"2020-03-25",1.4,"1",-59
"2020-03-25",1.4,"2",-55
"2020-03-25",1.4,"3",19
"2020-03-26",1.43,"4",-36
"2020-03-26",1.43,"5",-17
"2020-03-26",1.43,"6",91
"2020-03-26",1.43,"1",-59
"2020-03-26",1.43,"2",-55
"2020-03-26",1.43,"3",19
"2020-03-27",1.46,"4",-39
"2020-03-27",1.46,"5",-18
"2020-03-27",1.46,"6",96
"2020-03-27",1.46,"1",-61
"2020-03-27",1.46,"2",-55
"2020-03-27",1.46,"3",19
"2020-03-28",1.49,"4",-43
"2020-03-28",1.49,"5",-14
"2020-03-28",1.49,"6",79
"2020-03-28",1.49,"1",-56
"2020-03-28",1.49,"2",-28
"2020-03-28",1.49,"3",10
"2020-03-29",1.5,"4",-37
"2020-03-29",1.5,"5",-22
"2020-03-29",1.5,"6",35
"2020-03-29",1.5,"1",-60
"2020-03-29",1.5,"2",-28
"2020-03-29",1.5,"3",9
"2020-03-30",1.5,"4",-33
"2020-03-30",1.5,"5",-18
"2020-03-30",1.5,"6",53
"2020-03-30",1.5,"1",-59
"2020-03-30",1.5,"2",-54
"2020-03-30",1.5,"3",18
"2020-03-31",1.49,"4",-23
"2020-03-31",1.49,"5",-4
"2020-03-31",1.49,"6",70
"2020-03-31",1.49,"1",-54
"2020-03-31",1.49,"2",-53
"2020-03-31",1.49,"3",17
"2020-04-01",1.46,"4",-32
"2020-04-01",1.46,"5",-12
"2020-04-01",1.46,"6",13
"2020-04-01",1.46,"1",-58
"2020-04-01",1.46,"2",-54
"2020-04-01",1.46,"3",19
"2020-04-02",1.44,"4",-34
"2020-04-02",1.44,"5",-13
"2020-04-02",1.44,"6",11
"2020-04-02",1.44,"1",-61
"2020-04-02",1.44,"2",-55
"2020-04-02",1.44,"3",20
"2020-04-03",1.43,"4",-35
"2020-04-03",1.43,"5",-10
"2020-04-03",1.43,"6",32
"2020-04-03",1.43,"1",-61
"2020-04-03",1.43,"2",-55
"2020-04-03",1.43,"3",19
"2020-04-04",1.39,"4",-38
"2020-04-04",1.39,"5",-8
"2020-04-04",1.39,"6",59
"2020-04-04",1.39,"1",-53
"2020-04-04",1.39,"2",-25
"2020-04-04",1.39,"3",10
"2020-04-05",1.34,"4",-22
"2020-04-05",1.34,"5",-12
"2020-04-05",1.34,"6",118
"2020-04-05",1.34,"1",-49
"2020-04-05",1.34,"2",-23
"2020-04-05",1.34,"3",7
"2020-04-06",1.28,"4",-15
"2020-04-06",1.28,"5",-5
"2020-04-06",1.28,"6",161
"2020-04-06",1.28,"1",-52
"2020-04-06",1.28,"2",-59
"2020-04-06",1.28,"3",16
"2020-04-07",1.21,"4",-13
"2020-04-07",1.21,"5",4
"2020-04-07",1.21,"6",167
"2020-04-07",1.21,"1",-51
"2020-04-07",1.21,"2",-59
"2020-04-07",1.21,"3",16
"2020-04-08",1.13,"4",-9
"2020-04-08",1.13,"5",11
"2020-04-08",1.13,"6",131
"2020-04-08",1.13,"1",-51
"2020-04-08",1.13,"2",-60
"2020-04-08",1.13,"3",15
"2020-04-09",1.06,"4",-40
"2020-04-09",1.06,"5",-16
"2020-04-09",1.06,"6",188
"2020-04-09",1.06,"1",-62
"2020-04-09",1.06,"2",-82
"2020-04-09",1.06,"3",22
"2020-04-10",1,"4",-60
"2020-04-10",1,"5",-36
"2020-04-10",1,"6",172
"2020-04-10",1,"1",-65
"2020-04-10",1,"2",-82
"2020-04-10",1,"3",24
"2020-04-11",0.96,"4",-31
"2020-04-11",0.96,"5",4
"2020-04-11",0.96,"6",50
"2020-04-11",0.96,"1",-52
"2020-04-11",0.96,"2",-23
"2020-04-11",0.96,"3",8
"2020-04-12",0.93,"4",-36
"2020-04-12",0.93,"5",-20
"2020-04-12",0.93,"6",123
"2020-04-12",0.93,"1",-47
"2020-04-12",0.93,"2",-23
"2020-04-12",0.93,"3",6
"2020-04-13",0.91,"4",-56
"2020-04-13",0.91,"5",-30
"2020-04-13",0.91,"6",107
"2020-04-13",0.91,"1",-65
"2020-04-13",0.91,"2",-84
"2020-04-13",0.91,"3",24
"2020-04-14",0.89,"4",-15
"2020-04-14",0.89,"5",4
"2020-04-14",0.89,"6",65
"2020-04-14",0.89,"1",-53
"2020-04-14",0.89,"2",-49
"2020-04-14",0.89,"3",16
"2020-04-15",0.87,"4",-23
"2020-04-15",0.87,"5",-5
"2020-04-15",0.87,"6",58
"2020-04-15",0.87,"1",-51
"2020-04-15",0.87,"2",-48
"2020-04-15",0.87,"3",17
"2020-04-16",0.87,"4",-23
"2020-04-16",0.87,"5",-4
"2020-04-16",0.87,"6",95
"2020-04-16",0.87,"1",-50
"2020-04-16",0.87,"2",-47
"2020-04-16",0.87,"3",16
"2020-04-17",0.87,"4",-26
"2020-04-17",0.87,"5",-6
"2020-04-17",0.87,"6",127
"2020-04-17",0.87,"1",-50
"2020-04-17",0.87,"2",-45
"2020-04-17",0.87,"3",15
"2020-04-18",0.88,"4",-33
"2020-04-18",0.88,"5",-5
"2020-04-18",0.88,"6",121
"2020-04-18",0.88,"1",-43
"2020-04-18",0.88,"2",-14
"2020-04-18",0.88,"3",7
"2020-04-19",0.88,"4",-21
"2020-04-19",0.88,"5",-12
"2020-04-19",0.88,"6",127
"2020-04-19",0.88,"1",-43
"2020-04-19",0.88,"2",-14
"2020-04-19",0.88,"3",5
"2020-04-20",0.88,"4",-14
"2020-04-20",0.88,"5",-5
"2020-04-20",0.88,"6",126
"2020-04-20",0.88,"1",-42
"2020-04-20",0.88,"2",-41
"2020-04-20",0.88,"3",13
"2020-04-21",0.88,"4",-15
"2020-04-21",0.88,"5",-2
"2020-04-21",0.88,"6",142
"2020-04-21",0.88,"1",-40
"2020-04-21",0.88,"2",-39
"2020-04-21",0.88,"3",13
"2020-04-22",0.89,"4",-18
"2020-04-22",0.89,"5",-4
"2020-04-22",0.89,"6",137
"2020-04-22",0.89,"1",-40
"2020-04-22",0.89,"2",-39
"2020-04-22",0.89,"3",12
"2020-04-23",0.88,"4",-18
"2020-04-23",0.88,"5",-3
"2020-04-23",0.88,"6",171
"2020-04-23",0.88,"1",-40
"2020-04-23",0.88,"2",-39
"2020-04-23",0.88,"3",12
"2020-04-24",0.88,"4",-25
"2020-04-24",0.88,"5",-5
"2020-04-24",0.88,"6",117
"2020-04-24",0.88,"1",-46
"2020-04-24",0.88,"2",-40
"2020-04-24",0.88,"3",13
"2020-04-25",0.89,"4",-29
"2020-04-25",0.89,"5",-3
"2020-04-25",0.89,"6",123
"2020-04-25",0.89,"1",-40
"2020-04-25",0.89,"2",-13
"2020-04-25",0.89,"3",6
"2020-04-26",0.88,"4",-22
"2020-04-26",0.88,"5",-12
"2020-04-26",0.88,"6",80
"2020-04-26",0.88,"1",-45
"2020-04-26",0.88,"2",-16
"2020-04-26",0.88,"3",5
"2020-04-27",0.87,"4",-20
"2020-04-27",0.87,"5",-9
"2020-04-27",0.87,"6",55
"2020-04-27",0.87,"1",-44
"2020-04-27",0.87,"2",-39
"2020-04-27",0.87,"3",13
"2020-04-28",0.86,"4",-20
"2020-04-28",0.86,"5",-6
"2020-04-28",0.86,"6",99
"2020-04-28",0.86,"1",-39
"2020-04-28",0.86,"2",-37
"2020-04-28",0.86,"3",11
"2020-04-29",0.86,"4",-26
"2020-04-29",0.86,"5",-9
"2020-04-29",0.86,"6",15
"2020-04-29",0.86,"1",-45
"2020-04-29",0.86,"2",-38
"2020-04-29",0.86,"3",14
"2020-04-30",0.85,"4",-28
"2020-04-30",0.85,"5",-1
"2020-04-30",0.85,"6",11
"2020-04-30",0.85,"1",-44
"2020-04-30",0.85,"2",-39
"2020-04-30",0.85,"3",14
"2020-05-01",0.85,"4",-29
"2020-05-01",0.85,"5",0
"2020-05-01",0.85,"6",68
"2020-05-01",0.85,"1",-46
"2020-05-01",0.85,"2",-49
"2020-05-01",0.85,"3",16
"2020-05-02",0.84,"4",-34
"2020-05-02",0.84,"5",0
"2020-05-02",0.84,"6",54
"2020-05-02",0.84,"1",-40
"2020-05-02",0.84,"2",-14
"2020-05-02",0.84,"3",7
"2020-05-03",0.85,"4",-20
"2020-05-03",0.85,"5",-7
"2020-05-03",0.85,"6",106
"2020-05-03",0.85,"1",-35
"2020-05-03",0.85,"2",-9
"2020-05-03",0.85,"3",4
"2020-05-04",0.85,"4",-21
"2020-05-04",0.85,"5",-2
"2020-05-04",0.85,"6",83
"2020-05-04",0.85,"1",-37
"2020-05-04",0.85,"2",-35
"2020-05-04",0.85,"3",11
"2020-05-05",0.84,"4",-22
"2020-05-05",0.84,"5",0
"2020-05-05",0.84,"6",96
"2020-05-05",0.84,"1",-35
"2020-05-05",0.84,"2",-33
"2020-05-05",0.84,"3",11
"2020-05-06",0.83,"4",-22
"2020-05-06",0.83,"5",2
"2020-05-06",0.83,"6",77
"2020-05-06",0.83,"1",-35
"2020-05-06",0.83,"2",-33
"2020-05-06",0.83,"3",11
"2020-05-07",0.82,"4",-12
"2020-05-07",0.82,"5",17
"2020-05-07",0.82,"6",150
"2020-05-07",0.82,"1",-31
"2020-05-07",0.82,"2",-33
"2020-05-07",0.82,"3",7
"2020-05-08",0.81,"4",-56
"2020-05-08",0.81,"5",-30
"2020-05-08",0.81,"6",226
"2020-05-08",0.81,"1",-51
"2020-05-08",0.81,"2",-78
"2020-05-08",0.81,"3",19
"2020-05-09",0.79,"4",-22
"2020-05-09",0.79,"5",11
"2020-05-09",0.79,"6",173
"2020-05-09",0.79,"1",-27
"2020-05-09",0.79,"2",-6
"2020-05-09",0.79,"3",3
"2020-05-10",0.77,"4",-17
"2020-05-10",0.77,"5",1
"2020-05-10",0.77,"6",78
"2020-05-10",0.77,"1",-33
"2020-05-10",0.77,"2",-5
"2020-05-10",0.77,"3",2
"2020-05-11",0.74,"4",-16
"2020-05-11",0.74,"5",1
"2020-05-11",0.74,"6",62
"2020-05-11",0.74,"1",-35
"2020-05-11",0.74,"2",-32
"2020-05-11",0.74,"3",11
"2020-05-12",0.72,"4",-21
"2020-05-12",0.72,"5",1
"2020-05-12",0.72,"6",42
"2020-05-12",0.72,"1",-36
"2020-05-12",0.72,"2",-31
"2020-05-12",0.72,"3",11
"2020-05-13",0.7,"4",-20
"2020-05-13",0.7,"5",1
"2020-05-13",0.7,"6",82
"2020-05-13",0.7,"1",-33
"2020-05-13",0.7,"2",-30
"2020-05-13",0.7,"3",11
"2020-05-14",0.7,"4",-19
"2020-05-14",0.7,"5",1
"2020-05-14",0.7,"6",77
"2020-05-14",0.7,"1",-35
"2020-05-14",0.7,"2",-30
"2020-05-14",0.7,"3",9
