"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-03",3.03,"1",1
"2020-03-03",3.03,"2",3
"2020-03-03",3.03,"3",0
"2020-03-04",3.06,"4",0
"2020-03-04",3.06,"5",4
"2020-03-04",3.06,"6",9
"2020-03-04",3.06,"1",2
"2020-03-04",3.06,"2",3
"2020-03-04",3.06,"3",0
"2020-03-05",3.12,"4",-1
"2020-03-05",3.12,"5",2
"2020-03-05",3.12,"6",2
"2020-03-05",3.12,"1",0
"2020-03-05",3.12,"2",2
"2020-03-05",3.12,"3",0
"2020-03-06",3.17,"4",-2
"2020-03-06",3.17,"5",2
"2020-03-06",3.17,"6",0
"2020-03-06",3.17,"1",0
"2020-03-06",3.17,"2",-1
"2020-03-06",3.17,"3",0
"2020-03-07",3.2,"4",-1
"2020-03-07",3.2,"5",1
"2020-03-07",3.2,"6",17
"2020-03-07",3.2,"1",4
"2020-03-07",3.2,"2",1
"2020-03-07",3.2,"3",-1
"2020-03-08",3.23,"4",4
"2020-03-08",3.23,"5",7
"2020-03-08",3.23,"6",19
"2020-03-08",3.23,"1",8
"2020-03-08",3.23,"2",1
"2020-03-08",3.23,"3",-2
"2020-03-09",3.23,"4",-1
"2020-03-09",3.23,"5",4
"2020-03-09",3.23,"6",12
"2020-03-09",3.23,"1",0
"2020-03-09",3.23,"2",3
"2020-03-09",3.23,"3",-1
"2020-03-10",3.16,"4",-3
"2020-03-10",3.16,"5",18
"2020-03-10",3.16,"6",12
"2020-03-10",3.16,"1",-1
"2020-03-10",3.16,"2",2
"2020-03-10",3.16,"3",0
"2020-03-11",2.98,"4",-5
"2020-03-11",2.98,"5",17
"2020-03-11",2.98,"6",17
"2020-03-11",2.98,"1",-9
"2020-03-11",2.98,"2",-2
"2020-03-11",2.98,"3",1
"2020-03-12",2.8,"4",-13
"2020-03-12",2.8,"5",27
"2020-03-12",2.8,"6",1
"2020-03-12",2.8,"1",-16
"2020-03-12",2.8,"2",-5
"2020-03-12",2.8,"3",3
"2020-03-13",2.69,"4",-33
"2020-03-13",2.69,"5",33
"2020-03-13",2.69,"6",-22
"2020-03-13",2.69,"1",-32
"2020-03-13",2.69,"2",-17
"2020-03-13",2.69,"3",8
"2020-03-14",2.58,"4",-69
"2020-03-14",2.58,"5",-8
"2020-03-14",2.58,"6",-44
"2020-03-14",2.58,"1",-52
"2020-03-14",2.58,"2",-31
"2020-03-14",2.58,"3",14
"2020-03-15",2.49,"4",-87
"2020-03-15",2.49,"5",-49
"2020-03-15",2.49,"6",-76
"2020-03-15",2.49,"1",-71
"2020-03-15",2.49,"2",-48
"2020-03-15",2.49,"3",17
"2020-03-16",2.4,"4",-80
"2020-03-16",2.4,"5",-33
"2020-03-16",2.4,"6",-72
"2020-03-16",2.4,"1",-71
"2020-03-16",2.4,"2",-52
"2020-03-16",2.4,"3",23
"2020-03-17",2.34,"4",-83
"2020-03-17",2.34,"5",-39
"2020-03-17",2.34,"6",-73
"2020-03-17",2.34,"1",-74
"2020-03-17",2.34,"2",-59
"2020-03-17",2.34,"3",25
"2020-03-18",2.32,"4",-84
"2020-03-18",2.32,"5",-36
"2020-03-18",2.32,"6",-73
"2020-03-18",2.32,"1",-76
"2020-03-18",2.32,"2",-60
"2020-03-18",2.32,"3",26
"2020-03-19",2.31,"4",-88
"2020-03-19",2.31,"5",-58
"2020-03-19",2.31,"6",-77
"2020-03-19",2.31,"1",-80
"2020-03-19",2.31,"2",-71
"2020-03-19",2.31,"3",31
"2020-03-20",2.23,"4",-87
"2020-03-20",2.23,"5",-39
"2020-03-20",2.23,"6",-79
"2020-03-20",2.23,"1",-80
"2020-03-20",2.23,"2",-66
"2020-03-20",2.23,"3",32
"2020-03-21",2.19,"4",-92
"2020-03-21",2.19,"5",-53
"2020-03-21",2.19,"6",-87
"2020-03-21",2.19,"1",-84
"2020-03-21",2.19,"2",-63
"2020-03-21",2.19,"3",26
"2020-03-22",2.12,"4",-94
"2020-03-22",2.12,"5",-73
"2020-03-22",2.12,"6",-89
"2020-03-22",2.12,"1",-87
"2020-03-22",2.12,"2",-65
"2020-03-22",2.12,"3",22
"2020-03-23",2.06,"4",-85
"2020-03-23",2.06,"5",-46
"2020-03-23",2.06,"6",-77
"2020-03-23",2.06,"1",-81
"2020-03-23",2.06,"2",-65
"2020-03-23",2.06,"3",28
"2020-03-24",2,"4",-87
"2020-03-24",2,"5",-50
"2020-03-24",2,"6",-79
"2020-03-24",2,"1",-81
"2020-03-24",2,"2",-67
"2020-03-24",2,"3",29
"2020-03-25",1.95,"4",-87
"2020-03-25",1.95,"5",-51
"2020-03-25",1.95,"6",-78
"2020-03-25",1.95,"1",-82
"2020-03-25",1.95,"2",-67
"2020-03-25",1.95,"3",30
"2020-03-26",1.86,"4",-87
"2020-03-26",1.86,"5",-52
"2020-03-26",1.86,"6",-78
"2020-03-26",1.86,"1",-82
"2020-03-26",1.86,"2",-68
"2020-03-26",1.86,"3",30
"2020-03-27",1.76,"4",-88
"2020-03-27",1.76,"5",-49
"2020-03-27",1.76,"6",-80
"2020-03-27",1.76,"1",-83
"2020-03-27",1.76,"2",-68
"2020-03-27",1.76,"3",33
"2020-03-28",1.65,"4",-92
"2020-03-28",1.65,"5",-57
"2020-03-28",1.65,"6",-86
"2020-03-28",1.65,"1",-86
"2020-03-28",1.65,"2",-64
"2020-03-28",1.65,"3",26
"2020-03-29",1.55,"4",-94
"2020-03-29",1.55,"5",-76
"2020-03-29",1.55,"6",-89
"2020-03-29",1.55,"1",-88
"2020-03-29",1.55,"2",-64
"2020-03-29",1.55,"3",22
"2020-03-30",1.45,"4",-89
"2020-03-30",1.45,"5",-55
"2020-03-30",1.45,"6",-80
"2020-03-30",1.45,"1",-84
"2020-03-30",1.45,"2",-74
"2020-03-30",1.45,"3",31
"2020-03-31",1.38,"4",-92
"2020-03-31",1.38,"5",-55
"2020-03-31",1.38,"6",-82
"2020-03-31",1.38,"1",-84
"2020-03-31",1.38,"2",-76
"2020-03-31",1.38,"3",32
"2020-04-01",1.3,"4",-92
"2020-04-01",1.3,"5",-53
"2020-04-01",1.3,"6",-81
"2020-04-01",1.3,"1",-84
"2020-04-01",1.3,"2",-75
"2020-04-01",1.3,"3",33
"2020-04-02",1.23,"4",-92
"2020-04-02",1.23,"5",-52
"2020-04-02",1.23,"6",-81
"2020-04-02",1.23,"1",-84
