"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-01",3,"1",2
"2020-03-01",3,"2",1
"2020-03-01",3,"3",0
"2020-03-02",2.99,"4",-6
"2020-03-02",2.99,"5",3
"2020-03-02",2.99,"6",-9
"2020-03-02",2.99,"1",-4
"2020-03-02",2.99,"2",-5
"2020-03-02",2.99,"3",3
"2020-03-03",2.99,"4",-1
"2020-03-03",2.99,"5",5
"2020-03-03",2.99,"6",8
"2020-03-03",2.99,"1",-4
"2020-03-03",2.99,"2",-4
"2020-03-03",2.99,"3",2
"2020-03-04",3.01,"4",-6
"2020-03-04",3.01,"5",2
"2020-03-04",3.01,"6",1
"2020-03-04",3.01,"1",-6
"2020-03-04",3.01,"2",-3
"2020-03-04",3.01,"3",2
"2020-03-05",3.03,"4",-8
"2020-03-05",3.03,"5",0
"2020-03-05",3.03,"6",-15
"2020-03-05",3.03,"1",-6
"2020-03-05",3.03,"2",-5
"2020-03-05",3.03,"3",3
"2020-03-06",3,"4",-2
"2020-03-06",3,"5",2
"2020-03-06",3,"6",-1
"2020-03-06",3,"1",-1
"2020-03-06",3,"2",-4
"2020-03-06",3,"3",3
"2020-03-07",2.98,"4",-4
"2020-03-07",2.98,"5",1
"2020-03-07",2.98,"6",7
"2020-03-07",2.98,"1",1
"2020-03-07",2.98,"2",0
"2020-03-07",2.98,"3",1
"2020-03-08",2.92,"4",0
"2020-03-08",2.92,"5",2
"2020-03-08",2.92,"6",-1
"2020-03-08",2.92,"1",-2
"2020-03-08",2.92,"2",-1
"2020-03-08",2.92,"3",1
"2020-03-09",2.85,"4",-5
"2020-03-09",2.85,"5",2
"2020-03-09",2.85,"6",2
"2020-03-09",2.85,"1",-5
"2020-03-09",2.85,"2",-1
"2020-03-09",2.85,"3",2
"2020-03-10",2.81,"4",-5
"2020-03-10",2.81,"5",1
"2020-03-10",2.81,"6",1
"2020-03-10",2.81,"1",-6
"2020-03-10",2.81,"2",-1
"2020-03-10",2.81,"3",2
"2020-03-11",2.76,"4",-6
"2020-03-11",2.76,"5",2
"2020-03-11",2.76,"6",17
"2020-03-11",2.76,"1",-5
"2020-03-11",2.76,"2",0
"2020-03-11",2.76,"3",1
"2020-03-12",2.71,"4",-8
"2020-03-12",2.71,"5",5
"2020-03-12",2.71,"6",5
"2020-03-12",2.71,"1",-7
"2020-03-12",2.71,"2",-1
"2020-03-12",2.71,"3",1
"2020-03-13",2.71,"4",-8
"2020-03-13",2.71,"5",17
"2020-03-13",2.71,"6",4
"2020-03-13",2.71,"1",-8
"2020-03-13",2.71,"2",-2
"2020-03-13",2.71,"3",3
"2020-03-14",2.63,"4",-21
"2020-03-14",2.63,"5",1
"2020-03-14",2.63,"6",-1
"2020-03-14",2.63,"1",-16
"2020-03-14",2.63,"2",-5
"2020-03-14",2.63,"3",5
"2020-03-15",2.57,"4",-38
"2020-03-15",2.57,"5",23
"2020-03-15",2.57,"6",15
"2020-03-15",2.57,"1",-21
"2020-03-15",2.57,"2",-9
"2020-03-15",2.57,"3",3
"2020-03-16",2.53,"4",-43
"2020-03-16",2.53,"5",46
"2020-03-16",2.53,"6",-15
"2020-03-16",2.53,"1",-39
"2020-03-16",2.53,"2",-36
"2020-03-16",2.53,"3",13
"2020-03-17",2.44,"4",-68
"2020-03-17",2.44,"5",-15
"2020-03-17",2.44,"6",-40
"2020-03-17",2.44,"1",-61
"2020-03-17",2.44,"2",-55
"2020-03-17",2.44,"3",24
"2020-03-18",2.35,"4",-83
"2020-03-18",2.35,"5",-45
"2020-03-18",2.35,"6",-53
"2020-03-18",2.35,"1",-76
"2020-03-18",2.35,"2",-67
"2020-03-18",2.35,"3",29
"2020-03-19",2.27,"4",-82
"2020-03-19",2.27,"5",-41
"2020-03-19",2.27,"6",-56
"2020-03-19",2.27,"1",-78
"2020-03-19",2.27,"2",-71
"2020-03-19",2.27,"3",32
"2020-03-20",2.18,"4",-83
"2020-03-20",2.18,"5",-42
"2020-03-20",2.18,"6",-66
"2020-03-20",2.18,"1",-80
"2020-03-20",2.18,"2",-71
"2020-03-20",2.18,"3",36
"2020-03-21",2.12,"4",-88
"2020-03-21",2.12,"5",-54
"2020-03-21",2.12,"6",-78
"2020-03-21",2.12,"1",-82
"2020-03-21",2.12,"2",-58
"2020-03-21",2.12,"3",24
"2020-03-22",2.07,"4",-86
"2020-03-22",2.07,"5",-64
"2020-03-22",2.07,"6",-80
"2020-03-22",2.07,"1",-84
"2020-03-22",2.07,"2",-55
"2020-03-22",2.07,"3",18
"2020-03-23",2,"4",-81
"2020-03-23",2,"5",-41
"2020-03-23",2,"6",-64
"2020-03-23",2,"1",-82
"2020-03-23",2,"2",-73
"2020-03-23",2,"3",32
"2020-03-24",1.94,"4",-83
"2020-03-24",1.94,"5",-45
"2020-03-24",1.94,"6",-65
"2020-03-24",1.94,"1",-82
"2020-03-24",1.94,"2",-74
"2020-03-24",1.94,"3",34
"2020-03-25",1.88,"4",-84
"2020-03-25",1.88,"5",-48
"2020-03-25",1.88,"6",-67
"2020-03-25",1.88,"1",-83
"2020-03-25",1.88,"2",-73
"2020-03-25",1.88,"3",32
"2020-03-26",1.82,"4",-84
"2020-03-26",1.82,"5",-46
"2020-03-26",1.82,"6",-67
"2020-03-26",1.82,"1",-83
"2020-03-26",1.82,"2",-74
"2020-03-26",1.82,"3",34
"2020-03-27",1.75,"4",-84
"2020-03-27",1.75,"5",-46
"2020-03-27",1.75,"6",-68
"2020-03-27",1.75,"1",-84
"2020-03-27",1.75,"2",-73
"2020-03-27",1.75,"3",37
"2020-03-28",1.7,"4",-87
"2020-03-28",1.7,"5",-56
"2020-03-28",1.7,"6",-76
"2020-03-28",1.7,"1",-83
"2020-03-28",1.7,"2",-59
"2020-03-28",1.7,"3",25
"2020-03-29",1.64,"4",-88
"2020-03-29",1.64,"5",-72
"2020-03-29",1.64,"6",-82
"2020-03-29",1.64,"1",-87
"2020-03-29",1.64,"2",-56
"2020-03-29",1.64,"3",18
"2020-03-30",1.58,"4",-84
"2020-03-30",1.58,"5",-47
"2020-03-30",1.58,"6",-66
