"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-03",2.12,"1",-1
"2020-03-03",2.12,"2",1
"2020-03-03",2.12,"3",0
"2020-03-04",2.09,"4",2
"2020-03-04",2.09,"5",3
"2020-03-04",2.09,"6",2
"2020-03-04",2.09,"1",-2
"2020-03-04",2.09,"2",1
"2020-03-04",2.09,"3",1
"2020-03-05",2.14,"4",-1
"2020-03-05",2.14,"5",2
"2020-03-05",2.14,"6",1
"2020-03-05",2.14,"1",-3
"2020-03-05",2.14,"2",0
"2020-03-05",2.14,"3",1
"2020-03-06",2.28,"4",5
"2020-03-06",2.28,"5",6
"2020-03-06",2.28,"6",22
"2020-03-06",2.28,"1",1
"2020-03-06",2.28,"2",1
"2020-03-06",2.28,"3",0
"2020-03-07",2.41,"4",0
"2020-03-07",2.41,"5",2
"2020-03-07",2.41,"6",7
"2020-03-07",2.41,"1",-1
"2020-03-07",2.41,"2",1
"2020-03-07",2.41,"3",0
"2020-03-08",2.61,"4",4
"2020-03-08",2.61,"5",2
"2020-03-08",2.61,"6",15
"2020-03-08",2.61,"1",2
"2020-03-08",2.61,"2",1
"2020-03-08",2.61,"3",-1
"2020-03-09",2.94,"4",0
"2020-03-09",2.94,"5",4
"2020-03-09",2.94,"6",4
"2020-03-09",2.94,"1",-3
"2020-03-09",2.94,"2",0
"2020-03-09",2.94,"3",1
"2020-03-10",3.21,"4",-2
"2020-03-10",3.21,"5",5
"2020-03-10",3.21,"6",4
"2020-03-10",3.21,"1",-4
"2020-03-10",3.21,"2",0
"2020-03-10",3.21,"3",1
"2020-03-11",3.3,"4",0
"2020-03-11",3.3,"5",5
"2020-03-11",3.3,"6",10
"2020-03-11",3.3,"1",-6
"2020-03-11",3.3,"2",0
"2020-03-11",3.3,"3",1
"2020-03-12",3.14,"4",-1
"2020-03-12",3.14,"5",11
"2020-03-12",3.14,"6",5
"2020-03-12",3.14,"1",-8
"2020-03-12",3.14,"2",-1
"2020-03-12",3.14,"3",2
"2020-03-13",2.84,"4",-2
"2020-03-13",2.84,"5",11
"2020-03-13",2.84,"6",12
"2020-03-13",2.84,"1",-9
"2020-03-13",2.84,"2",-4
"2020-03-13",2.84,"3",2
"2020-03-14",2.59,"4",-10
"2020-03-14",2.59,"5",7
"2020-03-14",2.59,"6",1
"2020-03-14",2.59,"1",-15
"2020-03-14",2.59,"2",-2
"2020-03-14",2.59,"3",2
"2020-03-15",2.44,"4",-11
"2020-03-15",2.44,"5",7
"2020-03-15",2.44,"6",-1
"2020-03-15",2.44,"1",-16
"2020-03-15",2.44,"2",-4
"2020-03-15",2.44,"3",2
"2020-03-16",2.28,"4",-3
"2020-03-16",2.28,"5",20
"2020-03-16",2.28,"6",29
"2020-03-16",2.28,"1",-16
"2020-03-16",2.28,"2",-9
"2020-03-16",2.28,"3",4
"2020-03-17",2.21,"4",-15
"2020-03-17",2.21,"5",21
"2020-03-17",2.21,"6",6
"2020-03-17",2.21,"1",-27
"2020-03-17",2.21,"2",-16
"2020-03-17",2.21,"3",7
"2020-03-18",2.21,"4",-21
"2020-03-18",2.21,"5",22
"2020-03-18",2.21,"6",-3
"2020-03-18",2.21,"1",-34
"2020-03-18",2.21,"2",-23
"2020-03-18",2.21,"3",10
"2020-03-19",2.22,"4",-21
"2020-03-19",2.22,"5",24
"2020-03-19",2.22,"6",2
"2020-03-19",2.22,"1",-37
"2020-03-19",2.22,"2",-27
"2020-03-19",2.22,"3",11
"2020-03-20",2.26,"4",-28
"2020-03-20",2.26,"5",10
"2020-03-20",2.26,"6",6
"2020-03-20",2.26,"1",-40
"2020-03-20",2.26,"2",-29
"2020-03-20",2.26,"3",13
"2020-03-21",2.29,"4",-50
"2020-03-21",2.29,"5",1
"2020-03-21",2.29,"6",2
"2020-03-21",2.29,"1",-46
"2020-03-21",2.29,"2",-25
"2020-03-21",2.29,"3",11
"2020-03-22",2.28,"4",-56
"2020-03-22",2.28,"5",-14
"2020-03-22",2.28,"6",20
"2020-03-22",2.28,"1",-46
"2020-03-22",2.28,"2",-30
"2020-03-22",2.28,"3",9
"2020-03-23",2.23,"4",-45
"2020-03-23",2.23,"5",-8
"2020-03-23",2.23,"6",1
"2020-03-23",2.23,"1",-53
"2020-03-23",2.23,"2",-45
"2020-03-23",2.23,"3",17
"2020-03-24",2.11,"4",-71
"2020-03-24",2.11,"5",-24
"2020-03-24",2.11,"6",-14
"2020-03-24",2.11,"1",-64
"2020-03-24",2.11,"2",-58
"2020-03-24",2.11,"3",24
"2020-03-25",2.02,"4",-73
"2020-03-25",2.02,"5",-26
"2020-03-25",2.02,"6",-12
"2020-03-25",2.02,"1",-68
"2020-03-25",2.02,"2",-64
"2020-03-25",2.02,"3",26
"2020-03-26",1.99,"4",-74
"2020-03-26",1.99,"5",-28
"2020-03-26",1.99,"6",-11
"2020-03-26",1.99,"1",-70
"2020-03-26",1.99,"2",-66
"2020-03-26",1.99,"3",27
"2020-03-27",1.94,"4",-76
"2020-03-27",1.94,"5",-29
"2020-03-27",1.94,"6",-26
"2020-03-27",1.94,"1",-71
"2020-03-27",1.94,"2",-66
"2020-03-27",1.94,"3",28
"2020-03-28",1.89,"4",-83
"2020-03-28",1.89,"5",-39
"2020-03-28",1.89,"6",-54
"2020-03-28",1.89,"1",-74
"2020-03-28",1.89,"2",-57
"2020-03-28",1.89,"3",20
"2020-03-29",1.82,"4",-85
"2020-03-29",1.82,"5",-46
"2020-03-29",1.82,"6",-52
"2020-03-29",1.82,"1",-75
"2020-03-29",1.82,"2",-55
"2020-03-29",1.82,"3",15
