"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-14",2.63,"1",-18
"2020-03-14",2.63,"2",-7
"2020-03-14",2.63,"3",6
"2020-03-15",2.65,"4",-34
"2020-03-15",2.65,"5",29
"2020-03-15",2.65,"6",14
"2020-03-15",2.65,"1",-29
"2020-03-15",2.65,"2",-33
"2020-03-15",2.65,"3",15
"2020-03-16",2.69,"4",-40
"2020-03-16",2.69,"5",14
"2020-03-16",2.69,"6",26
"2020-03-16",2.69,"1",-31
"2020-03-16",2.69,"2",-37
"2020-03-16",2.69,"3",17
"2020-03-17",2.67,"4",-54
"2020-03-17",2.67,"5",-5
"2020-03-17",2.67,"6",-43
"2020-03-17",2.67,"1",-44
"2020-03-17",2.67,"2",-41
"2020-03-17",2.67,"3",22
"2020-03-18",2.67,"4",-58
"2020-03-18",2.67,"5",0
"2020-03-18",2.67,"6",-50
"2020-03-18",2.67,"1",-50
"2020-03-18",2.67,"2",-50
"2020-03-18",2.67,"3",26
"2020-03-19",2.77,"4",-62
"2020-03-19",2.77,"5",-12
"2020-03-19",2.77,"6",-54
"2020-03-19",2.77,"1",-54
"2020-03-19",2.77,"2",-52
"2020-03-19",2.77,"3",29
"2020-03-20",2.94,"4",-69
"2020-03-20",2.94,"5",-27
"2020-03-20",2.94,"6",-60
"2020-03-20",2.94,"1",-59
"2020-03-20",2.94,"2",-55
"2020-03-20",2.94,"3",19
"2020-03-21",2.93,"4",-80
"2020-03-21",2.93,"5",-39
"2020-03-21",2.93,"6",-58
"2020-03-21",2.93,"1",-53
"2020-03-21",2.93,"2",-41
"2020-03-21",2.93,"3",16
"2020-03-22",2.87,"4",-61
"2020-03-22",2.87,"5",-18
"2020-03-22",2.87,"6",-32
"2020-03-22",2.87,"1",-55
"2020-03-22",2.87,"2",-55
"2020-03-22",2.87,"3",27
"2020-03-23",2.8,"4",-61
"2020-03-23",2.8,"5",-13
"2020-03-23",2.8,"6",-32
"2020-03-23",2.8,"1",-52
"2020-03-23",2.8,"2",-55
"2020-03-23",2.8,"3",28
"2020-03-24",2.8,"4",-62
"2020-03-24",2.8,"5",-11
"2020-03-24",2.8,"6",-44
"2020-03-24",2.8,"1",-53
"2020-03-24",2.8,"2",-56
"2020-03-24",2.8,"3",28
"2020-03-25",2.85,"4",-63
"2020-03-25",2.85,"5",-13
"2020-03-25",2.85,"6",-45
"2020-03-25",2.85,"1",-55
"2020-03-25",2.85,"2",-57
"2020-03-25",2.85,"3",29
"2020-03-26",2.61,"4",-75
"2020-03-26",2.61,"5",-33
"2020-03-26",2.61,"6",-66
"2020-03-26",2.61,"1",-64
"2020-03-26",2.61,"2",-59
"2020-03-26",2.61,"3",33
"2020-03-27",2.35,"4",-75
"2020-03-27",2.35,"5",-37
"2020-03-27",2.35,"6",-66
"2020-03-27",2.35,"1",-63
"2020-03-27",2.35,"2",-59
"2020-03-27",2.35,"3",20
"2020-03-28",2.17,"4",-87
"2020-03-28",2.17,"5",-45
"2020-03-28",2.17,"6",-80
"2020-03-28",2.17,"1",-65
"2020-03-28",2.17,"2",-46
"2020-03-28",2.17,"3",17
"2020-03-29",2.02,"4",-67
"2020-03-29",2.02,"5",-13
"2020-03-29",2.02,"6",-56
"2020-03-29",2.02,"1",-61
"2020-03-29",2.02,"2",-59
"2020-03-29",2.02,"3",30
"2020-03-30",1.88,"4",-73
"2020-03-30",1.88,"5",-23
"2020-03-30",1.88,"6",-62
"2020-03-30",1.88,"1",-61
"2020-03-30",1.88,"2",-60
"2020-03-30",1.88,"3",31
"2020-03-31",1.75,"4",-80
"2020-03-31",1.75,"5",-16
"2020-03-31",1.75,"6",-61
"2020-03-31",1.75,"1",-60
"2020-03-31",1.75,"2",-60
"2020-03-31",1.75,"3",31
"2020-04-01",1.59,"4",-80
"2020-04-01",1.59,"5",-15
"2020-04-01",1.59,"6",-62
"2020-04-01",1.59,"1",-61
"2020-04-01",1.59,"2",-61
"2020-04-01",1.59,"3",31
"2020-04-02",1.5,"4",-79
"2020-04-02",1.5,"5",-12
"2020-04-02",1.5,"6",-57
"2020-04-02",1.5,"1",-59
"2020-04-02",1.5,"2",-60
"2020-04-02",1.5,"3",32
"2020-04-03",1.37,"4",-79
"2020-04-03",1.37,"5",-22
"2020-04-03",1.37,"6",-55
"2020-04-03",1.37,"1",-55
"2020-04-03",1.37,"2",-57
"2020-04-03",1.37,"3",19
"2020-04-04",1.28,"4",-88
"2020-04-04",1.28,"5",-30
"2020-04-04",1.28,"6",-72
"2020-04-04",1.28,"1",-58
"2020-04-04",1.28,"2",-42
"2020-04-04",1.28,"3",16
"2020-04-05",1.21,"4",-75
"2020-04-05",1.21,"5",6
"2020-04-05",1.21,"6",-52
"2020-04-05",1.21,"1",-57
"2020-04-05",1.21,"2",-60
"2020-04-05",1.21,"3",30
