"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-02-24",3.55,"1",-15
"2020-02-24",3.55,"2",-14
"2020-02-24",3.55,"3",4
"2020-02-25",3.5,"4",-6
"2020-02-25",3.5,"5",5
"2020-02-25",3.5,"6",20
"2020-02-25",3.5,"1",-18
"2020-02-25",3.5,"2",-15
"2020-02-25",3.5,"3",5
"2020-02-26",3.43,"4",-13
"2020-02-26",3.43,"5",-5
"2020-02-26",3.43,"6",-6
"2020-02-26",3.43,"1",-23
"2020-02-26",3.43,"2",-12
"2020-02-26",3.43,"3",6
"2020-02-27",3.35,"4",-10
"2020-02-27",3.35,"5",-3
"2020-02-27",3.35,"6",-1
"2020-02-27",3.35,"1",-22
"2020-02-27",3.35,"2",-12
"2020-02-27",3.35,"3",6
"2020-02-28",3.24,"4",-8
"2020-02-28",3.24,"5",-2
"2020-02-28",3.24,"6",11
"2020-02-28",3.24,"1",-20
"2020-02-28",3.24,"2",-12
"2020-02-28",3.24,"3",5
"2020-02-29",3.12,"4",-10
"2020-02-29",3.12,"5",-2
"2020-02-29",3.12,"6",2
"2020-02-29",3.12,"1",-16
"2020-02-29",3.12,"2",-9
"2020-02-29",3.12,"3",3
"2020-03-01",3.05,"4",-19
"2020-03-01",3.05,"5",-5
"2020-03-01",3.05,"6",-30
"2020-03-01",3.05,"1",-26
"2020-03-01",3.05,"2",-5
"2020-03-01",3.05,"3",4
"2020-03-02",2.86,"4",-13
"2020-03-02",2.86,"5",-7
"2020-03-02",2.86,"6",-26
"2020-03-02",2.86,"1",-25
"2020-03-02",2.86,"2",-9
"2020-03-02",2.86,"3",5
"2020-03-03",2.75,"4",-7
"2020-03-03",2.75,"5",-1
"2020-03-03",2.75,"6",-9
"2020-03-03",2.75,"1",-21
"2020-03-03",2.75,"2",-8
"2020-03-03",2.75,"3",4
"2020-03-04",2.63,"4",-7
"2020-03-04",2.63,"5",1
"2020-03-04",2.63,"6",8
"2020-03-04",2.63,"1",-19
"2020-03-04",2.63,"2",-8
"2020-03-04",2.63,"3",4
"2020-03-05",2.56,"4",-12
"2020-03-05",2.56,"5",0
"2020-03-05",2.56,"6",-12
"2020-03-05",2.56,"1",-28
"2020-03-05",2.56,"2",-16
"2020-03-05",2.56,"3",7
"2020-03-06",2.52,"4",-15
"2020-03-06",2.52,"5",0
"2020-03-06",2.52,"6",-8
"2020-03-06",2.52,"1",-29
"2020-03-06",2.52,"2",-17
"2020-03-06",2.52,"3",8
"2020-03-07",2.52,"4",-19
"2020-03-07",2.52,"5",1
"2020-03-07",2.52,"6",2
"2020-03-07",2.52,"1",-24
"2020-03-07",2.52,"2",-15
"2020-03-07",2.52,"3",6
"2020-03-08",2.45,"4",-32
"2020-03-08",2.45,"5",3
"2020-03-08",2.45,"6",1
"2020-03-08",2.45,"1",-27
"2020-03-08",2.45,"2",-10
"2020-03-08",2.45,"3",6
"2020-03-09",2.42,"4",-30
"2020-03-09",2.42,"5",-1
"2020-03-09",2.42,"6",-24
"2020-03-09",2.42,"1",-42
"2020-03-09",2.42,"2",-24
"2020-03-09",2.42,"3",11
"2020-03-10",2.31,"4",-43
"2020-03-10",2.31,"5",-2
"2020-03-10",2.31,"6",-32
"2020-03-10",2.31,"1",-51
"2020-03-10",2.31,"2",-31
"2020-03-10",2.31,"3",16
"2020-03-11",2.29,"4",-52
"2020-03-11",2.29,"5",-14
"2020-03-11",2.29,"6",-32
"2020-03-11",2.29,"1",-57
"2020-03-11",2.29,"2",-37
"2020-03-11",2.29,"3",19
"2020-03-12",2.22,"4",-70
"2020-03-12",2.22,"5",-23
"2020-03-12",2.22,"6",-61
"2020-03-12",2.22,"1",-67
"2020-03-12",2.22,"2",-47
"2020-03-12",2.22,"3",24
"2020-03-13",2.14,"4",-75
"2020-03-13",2.14,"5",-28
"2020-03-13",2.14,"6",-64
"2020-03-13",2.14,"1",-71
"2020-03-13",2.14,"2",-53
"2020-03-13",2.14,"3",28
"2020-03-14",2.06,"4",-83
"2020-03-14",2.06,"5",-43
"2020-03-14",2.06,"6",-78
"2020-03-14",2.06,"1",-76
"2020-03-14",2.06,"2",-58
"2020-03-14",2.06,"3",25
"2020-03-15",1.97,"4",-90
"2020-03-15",1.97,"5",-60
"2020-03-15",1.97,"6",-81
"2020-03-15",1.97,"1",-80
"2020-03-15",1.97,"2",-55
"2020-03-15",1.97,"3",22
"2020-03-16",1.92,"4",-75
"2020-03-16",1.92,"5",-37
"2020-03-16",1.92,"6",-67
"2020-03-16",1.92,"1",-74
"2020-03-16",1.92,"2",-58
"2020-03-16",1.92,"3",27
"2020-03-17",1.88,"4",-77
"2020-03-17",1.88,"5",-41
"2020-03-17",1.88,"6",-68
"2020-03-17",1.88,"1",-76
"2020-03-17",1.88,"2",-61
"2020-03-17",1.88,"3",29
"2020-03-18",1.83,"4",-79
"2020-03-18",1.83,"5",-43
"2020-03-18",1.83,"6",-71
"2020-03-18",1.83,"1",-77
"2020-03-18",1.83,"2",-61
"2020-03-18",1.83,"3",30
"2020-03-19",1.78,"4",-79
"2020-03-19",1.78,"5",-44
"2020-03-19",1.78,"6",-74
"2020-03-19",1.78,"1",-78
"2020-03-19",1.78,"2",-63
"2020-03-19",1.78,"3",31
"2020-03-20",1.73,"4",-80
"2020-03-20",1.73,"5",-40
"2020-03-20",1.73,"6",-77
"2020-03-20",1.73,"1",-78
"2020-03-20",1.73,"2",-63
"2020-03-20",1.73,"3",32
"2020-03-21",1.63,"4",-86
"2020-03-21",1.63,"5",-51
"2020-03-21",1.63,"6",-85
"2020-03-21",1.63,"1",-80
"2020-03-21",1.63,"2",-63
"2020-03-21",1.63,"3",26
"2020-03-22",1.52,"4",-95
"2020-03-22",1.52,"5",-85
"2020-03-22",1.52,"6",-91
"2020-03-22",1.52,"1",-87
"2020-03-22",1.52,"2",-63
"2020-03-22",1.52,"3",24
"2020-03-23",1.44,"4",-80
"2020-03-23",1.44,"5",-45
"2020-03-23",1.44,"6",-81
"2020-03-23",1.44,"1",-81
"2020-03-23",1.44,"2",-68
"2020-03-23",1.44,"3",32
"2020-03-24",1.38,"4",-81
"2020-03-24",1.38,"5",-48
"2020-03-24",1.38,"6",-80
"2020-03-24",1.38,"1",-81
"2020-03-24",1.38,"2",-69
"2020-03-24",1.38,"3",32
"2020-03-25",1.3,"4",-83
"2020-03-25",1.3,"5",-51
"2020-03-25",1.3,"6",-82
"2020-03-25",1.3,"1",-82
"2020-03-25",1.3,"2",-70
"2020-03-25",1.3,"3",34
"2020-03-26",1.24,"4",-84
"2020-03-26",1.24,"5",-52
"2020-03-26",1.24,"6",-84
"2020-03-26",1.24,"1",-83
"2020-03-26",1.24,"2",-72
"2020-03-26",1.24,"3",35
"2020-03-27",1.17,"4",-83
"2020-03-27",1.17,"5",-46
"2020-03-27",1.17,"6",-82
"2020-03-27",1.17,"1",-82
"2020-03-27",1.17,"2",-71
"2020-03-27",1.17,"3",36
"2020-03-28",1.11,"4",-87
"2020-03-28",1.11,"5",-54
"2020-03-28",1.11,"6",-86
"2020-03-28",1.11,"1",-82
"2020-03-28",1.11,"2",-65
"2020-03-28",1.11,"3",27
"2020-03-29",1.06,"4",-94
"2020-03-29",1.06,"5",-85
"2020-03-29",1.06,"6",-90
"2020-03-29",1.06,"1",-87
"2020-03-29",1.06,"2",-63
"2020-03-29",1.06,"3",24
"2020-03-30",1.03,"4",-81
"2020-03-30",1.03,"5",-47
"2020-03-30",1.03,"6",-79
"2020-03-30",1.03,"1",-81
"2020-03-30",1.03,"2",-69
"2020-03-30",1.03,"3",32
"2020-03-31",1,"4",-90
"2020-03-31",1,"5",-42
"2020-03-31",1,"6",-78
"2020-03-31",1,"1",-79
"2020-03-31",1,"2",-70
"2020-03-31",1,"3",33
"2020-04-01",0.97,"4",-90
"2020-04-01",0.97,"5",-41
"2020-04-01",0.97,"6",-77
"2020-04-01",0.97,"1",-79
"2020-04-01",0.97,"2",-70
"2020-04-01",0.97,"3",33
"2020-04-02",0.94,"4",-90
"2020-04-02",0.94,"5",-40
"2020-04-02",0.94,"6",-77
"2020-04-02",0.94,"1",-79
"2020-04-02",0.94,"2",-70
"2020-04-02",0.94,"3",34
"2020-04-03",0.92,"4",-85
"2020-04-03",0.92,"5",-37
"2020-04-03",0.92,"6",-78
"2020-04-03",0.92,"1",-79
"2020-04-03",0.92,"2",-69
"2020-04-03",0.92,"3",35
"2020-04-04",0.9,"4",-89
"2020-04-04",0.9,"5",-48
"2020-04-04",0.9,"6",-84
"2020-04-04",0.9,"1",-80
"2020-04-04",0.9,"2",-63
"2020-04-04",0.9,"3",27
"2020-04-05",0.9,"4",-95
"2020-04-05",0.9,"5",-82
"2020-04-05",0.9,"6",-90
"2020-04-05",0.9,"1",-86
"2020-04-05",0.9,"2",-62
"2020-04-05",0.9,"3",24
"2020-04-06",0.9,"4",-83
"2020-04-06",0.9,"5",-39
"2020-04-06",0.9,"6",-76
"2020-04-06",0.9,"1",-78
"2020-04-06",0.9,"2",-66
"2020-04-06",0.9,"3",31
"2020-04-07",0.89,"4",-81
"2020-04-07",0.89,"5",-38
"2020-04-07",0.89,"6",-75
"2020-04-07",0.89,"1",-78
"2020-04-07",0.89,"2",-67
"2020-04-07",0.89,"3",31
"2020-04-08",0.89,"4",-82
"2020-04-08",0.89,"5",-37
"2020-04-08",0.89,"6",-76
"2020-04-08",0.89,"1",-78
"2020-04-08",0.89,"2",-67
"2020-04-08",0.89,"3",31
"2020-04-09",0.89,"4",-81
"2020-04-09",0.89,"5",-32
"2020-04-09",0.89,"6",-76
"2020-04-09",0.89,"1",-78
"2020-04-09",0.89,"2",-67
"2020-04-09",0.89,"3",32
"2020-04-10",0.89,"4",-81
"2020-04-10",0.89,"5",-27
"2020-04-10",0.89,"6",-76
"2020-04-10",0.89,"1",-77
"2020-04-10",0.89,"2",-68
"2020-04-10",0.89,"3",33
"2020-04-11",0.9,"4",-86
"2020-04-11",0.9,"5",-42
"2020-04-11",0.9,"6",-83
"2020-04-11",0.9,"1",-78
"2020-04-11",0.9,"2",-62
"2020-04-11",0.9,"3",26
"2020-04-12",0.9,"4",-96
"2020-04-12",0.9,"5",-94
"2020-04-12",0.9,"6",-91
"2020-04-12",0.9,"1",-88
"2020-04-12",0.9,"2",-66
"2020-04-12",0.9,"3",25
"2020-04-13",0.88,"4",-96
"2020-04-13",0.88,"5",-93
"2020-04-13",0.88,"6",-86
"2020-04-13",0.88,"1",-91
"2020-04-13",0.88,"2",-90
"2020-04-13",0.88,"3",40
"2020-04-14",0.86,"4",-81
"2020-04-14",0.86,"5",-41
"2020-04-14",0.86,"6",-76
"2020-04-14",0.86,"1",-77
"2020-04-14",0.86,"2",-65
"2020-04-14",0.86,"3",30
"2020-04-15",0.84,"4",-80
"2020-04-15",0.84,"5",-38
"2020-04-15",0.84,"6",-75
"2020-04-15",0.84,"1",-76
"2020-04-15",0.84,"2",-64
"2020-04-15",0.84,"3",30
"2020-04-16",0.85,"4",-79
"2020-04-16",0.85,"5",-37
"2020-04-16",0.85,"6",-75
"2020-04-16",0.85,"1",-76
"2020-04-16",0.85,"2",-63
"2020-04-16",0.85,"3",31
"2020-04-17",0.84,"4",-79
"2020-04-17",0.84,"5",-34
"2020-04-17",0.84,"6",-75
"2020-04-17",0.84,"1",-76
"2020-04-17",0.84,"2",-63
"2020-04-17",0.84,"3",32
