"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-02-21",5.72,"1",-10
"2020-02-21",5.72,"2",0
"2020-02-21",5.72,"3",5
"2020-02-21",5.72,"4",-14
"2020-02-21",5.72,"5",-5
"2020-02-21",5.72,"6",-7
"2020-02-21",5.72,"1",-8
"2020-02-21",5.72,"2",1
"2020-02-21",5.72,"3",5
"2020-02-22",5.46,"4",-26
"2020-02-22",5.46,"5",-6
"2020-02-22",5.46,"6",-32
"2020-02-22",5.46,"1",-24
"2020-02-22",5.46,"2",-4
"2020-02-22",5.46,"3",9
"2020-02-22",5.46,"4",-24
"2020-02-22",5.46,"5",-4
"2020-02-22",5.46,"6",-28
"2020-02-22",5.46,"1",-19
"2020-02-22",5.46,"2",-2
"2020-02-22",5.46,"3",8
"2020-02-23",4.47,"4",-31
"2020-02-23",4.47,"5",-18
"2020-02-23",4.47,"6",-12
"2020-02-23",4.47,"1",-25
"2020-02-23",4.47,"2",-9
"2020-02-23",4.47,"3",8
"2020-02-23",4.47,"4",-27
"2020-02-23",4.47,"5",-15
"2020-02-23",4.47,"6",6
"2020-02-23",4.47,"1",-22
"2020-02-23",4.47,"2",-7
"2020-02-23",4.47,"3",7
"2020-02-24",3.74,"4",-21
"2020-02-24",3.74,"5",6
"2020-02-24",3.74,"6",6
"2020-02-24",3.74,"1",-15
"2020-02-24",3.74,"2",-6
"2020-02-24",3.74,"3",8
"2020-02-24",3.74,"4",-19
"2020-02-24",3.74,"5",11
"2020-02-24",3.74,"6",13
"2020-02-24",3.74,"1",-13
"2020-02-24",3.74,"2",-4
"2020-02-24",3.74,"3",7
"2020-02-25",3.17,"4",-33
"2020-02-25",3.17,"5",-13
"2020-02-25",3.17,"6",-38
"2020-02-25",3.17,"1",-26
"2020-02-25",3.17,"2",-10
"2020-02-25",3.17,"3",10
"2020-02-25",3.17,"4",-25
"2020-02-25",3.17,"5",-5
"2020-02-25",3.17,"6",-24
"2020-02-25",3.17,"1",-19
"2020-02-25",3.17,"2",-8
"2020-02-25",3.17,"3",9
"2020-02-26",3.11,"4",-29
"2020-02-26",3.11,"5",-7
"2020-02-26",3.11,"6",5
"2020-02-26",3.11,"1",-22
"2020-02-26",3.11,"2",-11
"2020-02-26",3.11,"3",9
"2020-02-26",3.11,"4",-26
"2020-02-26",3.11,"5",-4
"2020-02-26",3.11,"6",12
"2020-02-26",3.11,"1",-20
"2020-02-26",3.11,"2",-8
"2020-02-26",3.11,"3",9
"2020-02-27",3.12,"4",-30
"2020-02-27",3.12,"5",-10
"2020-02-27",3.12,"6",1
"2020-02-27",3.12,"1",-24
"2020-02-27",3.12,"2",-10
"2020-02-27",3.12,"3",9
"2020-02-27",3.12,"4",-27
"2020-02-27",3.12,"5",-5
"2020-02-27",3.12,"6",16
"2020-02-27",3.12,"1",-21
"2020-02-27",3.12,"2",-9
"2020-02-27",3.12,"3",9
"2020-02-28",2.85,"4",-37
"2020-02-28",2.85,"5",-17
"2020-02-28",2.85,"6",-38
"2020-02-28",2.85,"1",-30
"2020-02-28",2.85,"2",-12
"2020-02-28",2.85,"3",13
"2020-02-28",2.85,"4",-35
"2020-02-28",2.85,"5",-15
"2020-02-28",2.85,"6",-34
"2020-02-28",2.85,"1",-27
"2020-02-28",2.85,"2",-11
"2020-02-28",2.85,"3",13
"2020-02-29",2.55,"4",-38
"2020-02-29",2.55,"5",-10
"2020-02-29",2.55,"6",-13
"2020-02-29",2.55,"1",-32
"2020-02-29",2.55,"2",-10
"2020-02-29",2.55,"3",12
"2020-02-29",2.55,"4",-35
"2020-02-29",2.55,"5",-4
"2020-02-29",2.55,"6",11
"2020-02-29",2.55,"1",-27
"2020-02-29",2.55,"2",-8
"2020-02-29",2.55,"3",11
"2020-03-01",2.34,"4",-41
"2020-03-01",2.34,"5",-8
"2020-03-01",2.34,"6",-17
"2020-03-01",2.34,"1",-36
"2020-03-01",2.34,"2",-16
"2020-03-01",2.34,"3",11
"2020-03-01",2.34,"4",-40
"2020-03-01",2.34,"5",-3
"2020-03-01",2.34,"6",-11
"2020-03-01",2.34,"1",-35
"2020-03-01",2.34,"2",-15
"2020-03-01",2.34,"3",11
"2020-03-02",2.11,"4",-23
"2020-03-02",2.11,"5",-1
"2020-03-02",2.11,"6",10
"2020-03-02",2.11,"1",-20
"2020-03-02",2.11,"2",-8
"2020-03-02",2.11,"3",9
"2020-03-02",2.11,"4",-22
"2020-03-02",2.11,"5",3
"2020-03-02",2.11,"6",19
"2020-03-02",2.11,"1",-19
"2020-03-02",2.11,"2",-8
"2020-03-02",2.11,"3",9
"2020-03-03",1.92,"4",-24
"2020-03-03",1.92,"5",-7
"2020-03-03",1.92,"6",2
"2020-03-03",1.92,"1",-21
"2020-03-03",1.92,"2",-9
"2020-03-03",1.92,"3",8
"2020-03-03",1.92,"4",-19
"2020-03-03",1.92,"5",-3
"2020-03-03",1.92,"6",10
"2020-03-03",1.92,"1",-17
"2020-03-03",1.92,"2",-8
"2020-03-03",1.92,"3",8
"2020-03-04",1.44,"4",-30
"2020-03-04",1.44,"5",-10
"2020-03-04",1.44,"6",-7
"2020-03-04",1.44,"1",-25
"2020-03-04",1.44,"2",-11
"2020-03-04",1.44,"3",10
"2020-03-04",1.44,"4",-29
"2020-03-04",1.44,"5",-9
"2020-03-04",1.44,"6",-12
"2020-03-04",1.44,"1",-25
"2020-03-04",1.44,"2",-9
"2020-03-04",1.44,"3",10
"2020-03-05",1.1,"4",-28
"2020-03-05",1.1,"5",-11
"2020-03-05",1.1,"6",-2
"2020-03-05",1.1,"1",-25
"2020-03-05",1.1,"2",-9
"2020-03-05",1.1,"3",9
"2020-03-05",1.1,"4",-27
"2020-03-05",1.1,"5",-9
"2020-03-05",1.1,"6",6
"2020-03-05",1.1,"1",-23
"2020-03-05",1.1,"2",-8
"2020-03-05",1.1,"3",9
"2020-03-06",0.89,"4",-27
"2020-03-06",0.89,"5",-8
"2020-03-06",0.89,"6",1
"2020-03-06",0.89,"1",-22
"2020-03-06",0.89,"2",-9
"2020-03-06",0.89,"3",10
"2020-03-06",0.89,"4",-25
"2020-03-06",0.89,"5",-6
"2020-03-06",0.89,"6",11
"2020-03-06",0.89,"1",-20
"2020-03-06",0.89,"2",-8
"2020-03-06",0.89,"3",10
"2020-03-07",0.7,"4",-32
"2020-03-07",0.7,"5",-7
"2020-03-07",0.7,"6",-16
"2020-03-07",0.7,"1",-29
"2020-03-07",0.7,"2",-8
"2020-03-07",0.7,"3",11
"2020-03-07",0.7,"4",-30
"2020-03-07",0.7,"5",-2
"2020-03-07",0.7,"6",10
"2020-03-07",0.7,"1",-24
"2020-03-07",0.7,"2",-7
"2020-03-07",0.7,"3",10
"2020-03-08",0.72,"4",-27
"2020-03-08",0.72,"5",-14
"2020-03-08",0.72,"6",34
"2020-03-08",0.72,"1",-24
"2020-03-08",0.72,"2",-14
"2020-03-08",0.72,"3",9
"2020-03-08",0.72,"4",-28
"2020-03-08",0.72,"5",-13
"2020-03-08",0.72,"6",54
"2020-03-08",0.72,"1",-23
"2020-03-08",0.72,"2",-14
"2020-03-08",0.72,"3",8
"2020-03-09",0.66,"4",-19
"2020-03-09",0.66,"5",1
"2020-03-09",0.66,"6",16
"2020-03-09",0.66,"1",-17
"2020-03-09",0.66,"2",-6
"2020-03-09",0.66,"3",8
"2020-03-09",0.66,"4",-17
"2020-03-09",0.66,"5",5
"2020-03-09",0.66,"6",32
"2020-03-09",0.66,"1",-15
"2020-03-09",0.66,"2",-5
"2020-03-09",0.66,"3",8
"2020-03-10",0.56,"4",-27
"2020-03-10",0.56,"5",-11
"2020-03-10",0.56,"6",-32
"2020-03-10",0.56,"1",-25
"2020-03-10",0.56,"2",-9
"2020-03-10",0.56,"3",9
"2020-03-10",0.56,"4",-24
"2020-03-10",0.56,"5",-11
"2020-03-10",0.56,"6",-28
"2020-03-10",0.56,"1",-20
"2020-03-10",0.56,"2",-8
"2020-03-10",0.56,"3",9
"2020-03-11",0.52,"4",-22
"2020-03-11",0.52,"5",-3
"2020-03-11",0.52,"6",23
"2020-03-11",0.52,"1",-18
"2020-03-11",0.52,"2",-8
"2020-03-11",0.52,"3",8
"2020-03-11",0.52,"4",-23
"2020-03-11",0.52,"5",-3
"2020-03-11",0.52,"6",23
"2020-03-11",0.52,"1",-18
"2020-03-11",0.52,"2",-7
"2020-03-11",0.52,"3",8
"2020-03-12",0.36,"4",-23
"2020-03-12",0.36,"5",-5
"2020-03-12",0.36,"6",19
"2020-03-12",0.36,"1",-20
"2020-03-12",0.36,"2",-7
"2020-03-12",0.36,"3",8
"2020-03-12",0.36,"4",-24
"2020-03-12",0.36,"5",-3
"2020-03-12",0.36,"6",23
"2020-03-12",0.36,"1",-20
"2020-03-12",0.36,"2",-7
"2020-03-12",0.36,"3",8
"2020-03-13",0.27,"4",-24
"2020-03-13",0.27,"5",-5
"2020-03-13",0.27,"6",2
"2020-03-13",0.27,"1",-20
"2020-03-13",0.27,"2",-7
"2020-03-13",0.27,"3",9
"2020-03-13",0.27,"4",-24
"2020-03-13",0.27,"5",-3
"2020-03-13",0.27,"6",9
"2020-03-13",0.27,"1",-19
"2020-03-13",0.27,"2",-7
"2020-03-13",0.27,"3",10
"2020-03-14",0.25,"4",-25
"2020-03-14",0.25,"5",1
"2020-03-14",0.25,"6",4
"2020-03-14",0.25,"1",-22
"2020-03-14",0.25,"2",-5
"2020-03-14",0.25,"3",9
"2020-03-14",0.25,"4",-26
"2020-03-14",0.25,"5",2
"2020-03-14",0.25,"6",14
"2020-03-14",0.25,"1",-20
"2020-03-14",0.25,"2",-6
"2020-03-14",0.25,"3",9
"2020-03-15",0.4,"4",-28
"2020-03-15",0.4,"5",1
"2020-03-15",0.4,"6",-3
"2020-03-15",0.4,"1",-29
"2020-03-15",0.4,"2",-12
"2020-03-15",0.4,"3",9
"2020-03-15",0.4,"4",-30
"2020-03-15",0.4,"5",2
"2020-03-15",0.4,"6",5
"2020-03-15",0.4,"1",-29
"2020-03-15",0.4,"2",-13
"2020-03-15",0.4,"3",9
"2020-03-16",0.53,"4",-17
"2020-03-16",0.53,"5",1
"2020-03-16",0.53,"6",23
"2020-03-16",0.53,"1",-16
"2020-03-16",0.53,"2",-6
"2020-03-16",0.53,"3",8
"2020-03-16",0.53,"4",-19
"2020-03-16",0.53,"5",2
"2020-03-16",0.53,"6",26
"2020-03-16",0.53,"1",-17
"2020-03-16",0.53,"2",-6
"2020-03-16",0.53,"3",8
"2020-03-17",0.58,"4",-19
"2020-03-17",0.58,"5",-5
"2020-03-17",0.58,"6",12
"2020-03-17",0.58,"1",-17
"2020-03-17",0.58,"2",-6
"2020-03-17",0.58,"3",6
"2020-03-17",0.58,"4",-18
"2020-03-17",0.58,"5",-3
"2020-03-17",0.58,"6",16
"2020-03-17",0.58,"1",-15
"2020-03-17",0.58,"2",-6
"2020-03-17",0.58,"3",7
"2020-03-18",0.59,"4",-19
"2020-03-18",0.59,"5",-1
"2020-03-18",0.59,"6",47
"2020-03-18",0.59,"1",-16
"2020-03-18",0.59,"2",-7
"2020-03-18",0.59,"3",7
"2020-03-18",0.59,"4",-21
"2020-03-18",0.59,"5",0
"2020-03-18",0.59,"6",48
"2020-03-18",0.59,"1",-16
"2020-03-18",0.59,"2",-6
"2020-03-18",0.59,"3",8
"2020-03-19",0.6,"4",-28
"2020-03-19",0.6,"5",-13
"2020-03-19",0.6,"6",-18
"2020-03-19",0.6,"1",-25
"2020-03-19",0.6,"2",-7
"2020-03-19",0.6,"3",9
