"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-19",1.92,"1",-22
"2020-03-19",1.92,"2",-14
"2020-03-19",1.92,"3",7
"2020-03-20",1.91,"4",-23
"2020-03-20",1.91,"5",-3
"2020-03-20",1.91,"6",-22
"2020-03-20",1.91,"1",-26
"2020-03-20",1.91,"2",-14
"2020-03-20",1.91,"3",9
"2020-03-21",1.91,"4",-31
"2020-03-21",1.91,"5",-7
"2020-03-21",1.91,"6",-32
"2020-03-21",1.91,"1",-29
"2020-03-21",1.91,"2",-7
"2020-03-21",1.91,"3",9
"2020-03-22",1.9,"4",-37
"2020-03-22",1.9,"5",-13
"2020-03-22",1.9,"6",-37
"2020-03-22",1.9,"1",-33
"2020-03-22",1.9,"2",-10
"2020-03-22",1.9,"3",8
"2020-03-23",1.89,"4",-31
"2020-03-23",1.89,"5",-14
"2020-03-23",1.89,"6",-30
"2020-03-23",1.89,"1",-37
"2020-03-23",1.89,"2",-29
"2020-03-23",1.89,"3",12
"2020-03-24",1.88,"4",-35
"2020-03-24",1.88,"5",-16
"2020-03-24",1.88,"6",-33
"2020-03-24",1.88,"1",-41
"2020-03-24",1.88,"2",-34
"2020-03-24",1.88,"3",14
"2020-03-25",1.88,"4",-37
"2020-03-25",1.88,"5",-16
"2020-03-25",1.88,"6",-36
"2020-03-25",1.88,"1",-44
"2020-03-25",1.88,"2",-36
"2020-03-25",1.88,"3",16
"2020-03-26",1.88,"4",-37
"2020-03-26",1.88,"5",-17
"2020-03-26",1.88,"6",-36
"2020-03-26",1.88,"1",-46
"2020-03-26",1.88,"2",-37
"2020-03-26",1.88,"3",16
"2020-03-27",1.87,"4",-39
"2020-03-27",1.87,"5",-17
"2020-03-27",1.87,"6",-37
"2020-03-27",1.87,"1",-47
"2020-03-27",1.87,"2",-34
"2020-03-27",1.87,"3",17
"2020-03-28",1.85,"4",-40
"2020-03-28",1.85,"5",-14
"2020-03-28",1.85,"6",-39
"2020-03-28",1.85,"1",-43
"2020-03-28",1.85,"2",-18
"2020-03-28",1.85,"3",12
"2020-03-29",1.83,"4",-45
"2020-03-29",1.83,"5",-19
"2020-03-29",1.83,"6",-46
"2020-03-29",1.83,"1",-47
"2020-03-29",1.83,"2",-20
"2020-03-29",1.83,"3",11
"2020-03-30",1.8,"4",-35
"2020-03-30",1.8,"5",-15
"2020-03-30",1.8,"6",-36
"2020-03-30",1.8,"1",-47
"2020-03-30",1.8,"2",-38
"2020-03-30",1.8,"3",15
"2020-03-31",1.78,"4",-35
"2020-03-31",1.78,"5",-15
"2020-03-31",1.78,"6",-37
"2020-03-31",1.78,"1",-48
"2020-03-31",1.78,"2",-41
"2020-03-31",1.78,"3",16
"2020-04-01",1.77,"4",-37
"2020-04-01",1.77,"5",-13
