"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-18",1.89,"1",-82
"2020-03-18",1.89,"2",-73
"2020-03-18",1.89,"3",38
"2020-03-19",1.89,"4",-83
"2020-03-19",1.89,"5",-60
"2020-03-19",1.89,"6",-73
"2020-03-19",1.89,"1",-83
"2020-03-19",1.89,"2",-76
"2020-03-19",1.89,"3",40
"2020-03-20",1.89,"4",-84
"2020-03-20",1.89,"5",-61
"2020-03-20",1.89,"6",-75
"2020-03-20",1.89,"1",-84
"2020-03-20",1.89,"2",-76
"2020-03-20",1.89,"3",42
"2020-03-21",1.88,"4",-84
"2020-03-21",1.88,"5",-61
"2020-03-21",1.88,"6",-76
"2020-03-21",1.88,"1",-84
"2020-03-21",1.88,"2",-70
"2020-03-21",1.88,"3",36
"2020-03-22",1.88,"4",-84
"2020-03-22",1.88,"5",-61
"2020-03-22",1.88,"6",-77
"2020-03-22",1.88,"1",-84
"2020-03-22",1.88,"2",-57
"2020-03-22",1.88,"3",29
"2020-03-23",1.87,"4",-82
"2020-03-23",1.87,"5",-61
"2020-03-23",1.87,"6",-73
"2020-03-23",1.87,"1",-84
"2020-03-23",1.87,"2",-76
"2020-03-23",1.87,"3",40
"2020-03-24",1.87,"4",-83
"2020-03-24",1.87,"5",-61
"2020-03-24",1.87,"6",-74
"2020-03-24",1.87,"1",-85
"2020-03-24",1.87,"2",-76
"2020-03-24",1.87,"3",40
"2020-03-25",1.87,"4",-83
"2020-03-25",1.87,"5",-60
"2020-03-25",1.87,"6",-74
"2020-03-25",1.87,"1",-85
"2020-03-25",1.87,"2",-76
"2020-03-25",1.87,"3",40
"2020-03-26",1.87,"4",-82
"2020-03-26",1.87,"5",-57
"2020-03-26",1.87,"6",-73
"2020-03-26",1.87,"1",-84
"2020-03-26",1.87,"2",-76
"2020-03-26",1.87,"3",40
"2020-03-27",1.87,"4",-81
"2020-03-27",1.87,"5",-56
"2020-03-27",1.87,"6",-72
"2020-03-27",1.87,"1",-83
"2020-03-27",1.87,"2",-74
"2020-03-27",1.87,"3",41
"2020-03-28",1.87,"4",-82
"2020-03-28",1.87,"5",-56
"2020-03-28",1.87,"6",-74
"2020-03-28",1.87,"1",-82
"2020-03-28",1.87,"2",-68
"2020-03-28",1.87,"3",35
"2020-03-29",1.87,"4",-82
"2020-03-29",1.87,"5",-57
"2020-03-29",1.87,"6",-76
"2020-03-29",1.87,"1",-83
"2020-03-29",1.87,"2",-55
"2020-03-29",1.87,"3",29
"2020-03-30",1.87,"4",-80
"2020-03-30",1.87,"5",-57
"2020-03-30",1.87,"6",-71
"2020-03-30",1.87,"1",-82
"2020-03-30",1.87,"2",-73
"2020-03-30",1.87,"3",38
"2020-03-31",1.87,"4",-81
"2020-03-31",1.87,"5",-56
"2020-03-31",1.87,"6",-72
"2020-03-31",1.87,"1",-83
"2020-03-31",1.87,"2",-74
"2020-03-31",1.87,"3",38
"2020-04-01",1.87,"4",-81
"2020-04-01",1.87,"5",-57
"2020-04-01",1.87,"6",-72
"2020-04-01",1.87,"1",-84
"2020-04-01",1.87,"2",-75
"2020-04-01",1.87,"3",39
"2020-04-02",1.87,"4",-81
"2020-04-02",1.87,"5",-56
"2020-04-02",1.87,"6",-72
"2020-04-02",1.87,"1",-84
"2020-04-02",1.87,"2",-75
"2020-04-02",1.87,"3",40
"2020-04-03",1.87,"4",-83
"2020-04-03",1.87,"5",-57
"2020-04-03",1.87,"6",-75
"2020-04-03",1.87,"1",-85
"2020-04-03",1.87,"2",-75
"2020-04-03",1.87,"3",41
"2020-04-04",1.87,"4",-85
"2020-04-04",1.87,"5",-64
"2020-04-04",1.87,"6",-79
"2020-04-04",1.87,"1",-86
"2020-04-04",1.87,"2",-71
"2020-04-04",1.87,"3",36
"2020-04-05",1.87,"4",-95
"2020-04-05",1.87,"5",-95
"2020-04-05",1.87,"6",-89
"2020-04-05",1.87,"1",-93
"2020-04-05",1.87,"2",-75
"2020-04-05",1.87,"3",34
"2020-04-06",1.86,"4",-80
"2020-04-06",1.86,"5",-53
"2020-04-06",1.86,"6",-72
"2020-04-06",1.86,"1",-83
"2020-04-06",1.86,"2",-75
"2020-04-06",1.86,"3",39
"2020-04-07",1.85,"4",-83
"2020-04-07",1.85,"5",-60
"2020-04-07",1.85,"6",-75
"2020-04-07",1.85,"1",-85
"2020-04-07",1.85,"2",-76
"2020-04-07",1.85,"3",39
"2020-04-08",1.84,"4",-76
"2020-04-08",1.84,"5",-39
"2020-04-08",1.84,"6",-69
"2020-04-08",1.84,"1",-81
"2020-04-08",1.84,"2",-74
"2020-04-08",1.84,"3",36
"2020-04-09",1.83,"4",-95
"2020-04-09",1.83,"5",-95
"2020-04-09",1.83,"6",-89
"2020-04-09",1.83,"1",-94
"2020-04-09",1.83,"2",-90
"2020-04-09",1.83,"3",48
"2020-04-10",1.81,"4",-96
"2020-04-10",1.81,"5",-95
"2020-04-10",1.81,"6",-90
"2020-04-10",1.81,"1",-95
"2020-04-10",1.81,"2",-90
"2020-04-10",1.81,"3",51
"2020-04-11",1.79,"4",-81
"2020-04-11",1.79,"5",-51
"2020-04-11",1.79,"6",-72
"2020-04-11",1.79,"1",-81
"2020-04-11",1.79,"2",-67
"2020-04-11",1.79,"3",34
"2020-04-12",1.77,"4",-95
"2020-04-12",1.77,"5",-95
"2020-04-12",1.77,"6",-89
"2020-04-12",1.77,"1",-93
"2020-04-12",1.77,"2",-75
"2020-04-12",1.77,"3",34
"2020-04-13",1.75,"4",-78
"2020-04-13",1.75,"5",-50
"2020-04-13",1.75,"6",-68
"2020-04-13",1.75,"1",-80
"2020-04-13",1.75,"2",-72
"2020-04-13",1.75,"3",37
"2020-04-14",1.72,"4",-80
"2020-04-14",1.72,"5",-56
"2020-04-14",1.72,"6",-72
"2020-04-14",1.72,"1",-83
"2020-04-14",1.72,"2",-74
"2020-04-14",1.72,"3",38
"2020-04-15",1.7,"4",-81
"2020-04-15",1.7,"5",-59
"2020-04-15",1.7,"6",-72
"2020-04-15",1.7,"1",-83
"2020-04-15",1.7,"2",-74
"2020-04-15",1.7,"3",39
"2020-04-16",1.68,"4",-82
"2020-04-16",1.68,"5",-60
"2020-04-16",1.68,"6",-73
"2020-04-16",1.68,"1",-83
"2020-04-16",1.68,"2",-74
"2020-04-16",1.68,"3",40
"2020-04-17",1.66,"4",-82
"2020-04-17",1.66,"5",-59
"2020-04-17",1.66,"6",-73
"2020-04-17",1.66,"1",-83
"2020-04-17",1.66,"2",-73
"2020-04-17",1.66,"3",41
"2020-04-18",1.64,"4",-81
"2020-04-18",1.64,"5",-59
"2020-04-18",1.64,"6",-72
"2020-04-18",1.64,"1",-80
"2020-04-18",1.64,"2",-66
"2020-04-18",1.64,"3",34
"2020-04-19",1.63,"4",-95
"2020-04-19",1.63,"5",-95
"2020-04-19",1.63,"6",-89
"2020-04-19",1.63,"1",-93
"2020-04-19",1.63,"2",-74
"2020-04-19",1.63,"3",34
"2020-04-20",1.61,"4",-78
"2020-04-20",1.61,"5",-54
"2020-04-20",1.61,"6",-69
"2020-04-20",1.61,"1",-80
"2020-04-20",1.61,"2",-72
"2020-04-20",1.61,"3",37
"2020-04-21",1.6,"4",-84
"2020-04-21",1.6,"5",-67
"2020-04-21",1.6,"6",-76
"2020-04-21",1.6,"1",-84
"2020-04-21",1.6,"2",-76
"2020-04-21",1.6,"3",39
"2020-04-22",1.59,"4",-80
"2020-04-22",1.59,"5",-60
"2020-04-22",1.59,"6",-72
"2020-04-22",1.59,"1",-82
"2020-04-22",1.59,"2",-73
"2020-04-22",1.59,"3",39
"2020-04-23",1.57,"4",-81
"2020-04-23",1.57,"5",-61
"2020-04-23",1.57,"6",-73
"2020-04-23",1.57,"1",-82
"2020-04-23",1.57,"2",-74
"2020-04-23",1.57,"3",39
"2020-04-24",1.56,"4",-81
"2020-04-24",1.56,"5",-59
"2020-04-24",1.56,"6",-72
"2020-04-24",1.56,"1",-82
"2020-04-24",1.56,"2",-72
"2020-04-24",1.56,"3",40
"2020-04-25",1.55,"4",-80
"2020-04-25",1.55,"5",-56
"2020-04-25",1.55,"6",-71
"2020-04-25",1.55,"1",-79
"2020-04-25",1.55,"2",-65
"2020-04-25",1.55,"3",33
"2020-04-26",1.54,"4",-95
"2020-04-26",1.54,"5",-96
"2020-04-26",1.54,"6",-90
"2020-04-26",1.54,"1",-93
"2020-04-26",1.54,"2",-74
"2020-04-26",1.54,"3",34
"2020-04-27",1.52,"4",-77
"2020-04-27",1.52,"5",-55
"2020-04-27",1.52,"6",-68
"2020-04-27",1.52,"1",-79
"2020-04-27",1.52,"2",-70
"2020-04-27",1.52,"3",37
"2020-04-28",1.51,"4",-79
"2020-04-28",1.51,"5",-58
"2020-04-28",1.51,"6",-70
"2020-04-28",1.51,"1",-80
"2020-04-28",1.51,"2",-71
"2020-04-28",1.51,"3",33
"2020-04-29",1.49,"4",-78
"2020-04-29",1.49,"5",-57
"2020-04-29",1.49,"6",-69
"2020-04-29",1.49,"1",-79
"2020-04-29",1.49,"2",-71
"2020-04-29",1.49,"3",37
"2020-04-30",1.48,"4",-78
"2020-04-30",1.48,"5",-56
"2020-04-30",1.48,"6",-69
"2020-04-30",1.48,"1",-78
"2020-04-30",1.48,"2",-71
"2020-04-30",1.48,"3",37
"2020-05-01",1.47,"4",-83
"2020-05-01",1.47,"5",-63
"2020-05-01",1.47,"6",-75
"2020-05-01",1.47,"1",-84
"2020-05-01",1.47,"2",-78
"2020-05-01",1.47,"3",42
"2020-05-02",1.45,"4",-80
"2020-05-02",1.45,"5",-57
"2020-05-02",1.45,"6",-70
"2020-05-02",1.45,"1",-78
"2020-05-02",1.45,"2",-64
"2020-05-02",1.45,"3",33
"2020-05-03",1.44,"4",-95
"2020-05-03",1.44,"5",-96
"2020-05-03",1.44,"6",-90
"2020-05-03",1.44,"1",-93
"2020-05-03",1.44,"2",-74
"2020-05-03",1.44,"3",34
"2020-05-04",1.42,"4",-76
"2020-05-04",1.42,"5",-54
"2020-05-04",1.42,"6",-66
"2020-05-04",1.42,"1",-76
"2020-05-04",1.42,"2",-68
"2020-05-04",1.42,"3",36
"2020-05-05",1.41,"4",-77
"2020-05-05",1.41,"5",-56
"2020-05-05",1.41,"6",-68
"2020-05-05",1.41,"1",-78
"2020-05-05",1.41,"2",-70
"2020-05-05",1.41,"3",36
"2020-05-06",1.4,"4",-79
"2020-05-06",1.4,"5",-57
"2020-05-06",1.4,"6",-67
"2020-05-06",1.4,"1",-78
"2020-05-06",1.4,"2",-69
"2020-05-06",1.4,"3",37
"2020-05-07",1.38,"4",-84
"2020-05-07",1.38,"5",-57
"2020-05-07",1.38,"6",-68
"2020-05-07",1.38,"1",-76
"2020-05-07",1.38,"2",-70
"2020-05-07",1.38,"3",37
"2020-05-08",1.37,"4",-83
"2020-05-08",1.37,"5",-54
"2020-05-08",1.37,"6",-67
"2020-05-08",1.37,"1",-76
"2020-05-08",1.37,"2",-68
"2020-05-08",1.37,"3",38
"2020-05-09",1.36,"4",-81
"2020-05-09",1.36,"5",-44
"2020-05-09",1.36,"6",-61
"2020-05-09",1.36,"1",-70
"2020-05-09",1.36,"2",-58
"2020-05-09",1.36,"3",30
"2020-05-10",1.34,"4",-97
"2020-05-10",1.34,"5",-95
"2020-05-10",1.34,"6",-88
"2020-05-10",1.34,"1",-93
"2020-05-10",1.34,"2",-71
"2020-05-10",1.34,"3",33
"2020-05-11",1.33,"4",-82
"2020-05-11",1.33,"5",-55
"2020-05-11",1.33,"6",-64
"2020-05-11",1.33,"1",-74
"2020-05-11",1.33,"2",-66
"2020-05-11",1.33,"3",34
"2020-05-12",1.33,"4",-82
"2020-05-12",1.33,"5",-54
"2020-05-12",1.33,"6",-65
"2020-05-12",1.33,"1",-74
"2020-05-12",1.33,"2",-67
"2020-05-12",1.33,"3",35
"2020-05-13",1.32,"4",-82
"2020-05-13",1.32,"5",-54
"2020-05-13",1.32,"6",-63
"2020-05-13",1.32,"1",-74
"2020-05-13",1.32,"2",-67
"2020-05-13",1.32,"3",36
"2020-05-14",1.31,"4",-83
"2020-05-14",1.31,"5",-55
"2020-05-14",1.31,"6",-63
"2020-05-14",1.31,"1",-75
"2020-05-14",1.31,"2",-67
"2020-05-14",1.31,"3",34
"2020-05-15",1.3,"4",-82
"2020-05-15",1.3,"5",-53
"2020-05-15",1.3,"6",-63
"2020-05-15",1.3,"1",-74
"2020-05-15",1.3,"2",-66
"2020-05-15",1.3,"3",37
"2020-05-16",1.29,"4",-82
"2020-05-16",1.29,"5",-49
"2020-05-16",1.29,"6",-61
"2020-05-16",1.29,"1",-71
"2020-05-16",1.29,"2",-57
"2020-05-16",1.29,"3",30
"2020-05-17",1.28,"4",-97
"2020-05-17",1.28,"5",-95
"2020-05-17",1.28,"6",-87
"2020-05-17",1.28,"1",-93
"2020-05-17",1.28,"2",-72
"2020-05-17",1.28,"3",34
"2020-05-18",1.27,"4",-79
"2020-05-18",1.27,"5",-47
"2020-05-18",1.27,"6",-58
"2020-05-18",1.27,"1",-70
"2020-05-18",1.27,"2",-63
"2020-05-18",1.27,"3",34
"2020-05-19",1.26,"4",-80
"2020-05-19",1.26,"5",-51
"2020-05-19",1.26,"6",-61
"2020-05-19",1.26,"1",-72
"2020-05-19",1.26,"2",-65
"2020-05-19",1.26,"3",35
"2020-05-20",1.25,"4",-80
"2020-05-20",1.25,"5",-51
"2020-05-20",1.25,"6",-60
"2020-05-20",1.25,"1",-71
"2020-05-20",1.25,"2",-65
"2020-05-20",1.25,"3",35
"2020-05-21",1.25,"4",-81
"2020-05-21",1.25,"5",-51
"2020-05-21",1.25,"6",-61
"2020-05-21",1.25,"1",-71
"2020-05-21",1.25,"2",-65
"2020-05-21",1.25,"3",36
"2020-05-22",1.24,"4",-81
"2020-05-22",1.24,"5",-51
"2020-05-22",1.24,"6",-61
"2020-05-22",1.24,"1",-72
"2020-05-22",1.24,"2",-63
"2020-05-22",1.24,"3",36
"2020-05-23",1.23,"4",-79
"2020-05-23",1.23,"5",-45
"2020-05-23",1.23,"6",-58
"2020-05-23",1.23,"1",-66
"2020-05-23",1.23,"2",-52
"2020-05-23",1.23,"3",29
"2020-05-24",1.22,"4",-97
"2020-05-24",1.22,"5",-95
"2020-05-24",1.22,"6",-87
"2020-05-24",1.22,"1",-92
"2020-05-24",1.22,"2",-70
"2020-05-24",1.22,"3",33
"2020-05-25",1.22,"4",-75
"2020-05-25",1.22,"5",-41
"2020-05-25",1.22,"6",-52
"2020-05-25",1.22,"1",-64
"2020-05-25",1.22,"2",-60
"2020-05-25",1.22,"3",32
"2020-05-26",1.21,"4",-77
"2020-05-26",1.21,"5",-45
"2020-05-26",1.21,"6",-56
"2020-05-26",1.21,"1",-67
"2020-05-26",1.21,"2",-60
"2020-05-26",1.21,"3",32
"2020-05-27",1.2,"4",-77
"2020-05-27",1.2,"5",-46
"2020-05-27",1.2,"6",-55
"2020-05-27",1.2,"1",-67
"2020-05-27",1.2,"2",-60
"2020-05-27",1.2,"3",33
"2020-05-28",1.2,"4",-78
"2020-05-28",1.2,"5",-46
"2020-05-28",1.2,"6",-57
"2020-05-28",1.2,"1",-67
"2020-05-28",1.2,"2",-60
"2020-05-28",1.2,"3",33
"2020-05-29",1.19,"4",-77
"2020-05-29",1.19,"5",-44
"2020-05-29",1.19,"6",-56
"2020-05-29",1.19,"1",-67
"2020-05-29",1.19,"2",-58
"2020-05-29",1.19,"3",34
"2020-05-30",1.18,"4",-76
"2020-05-30",1.18,"5",-39
"2020-05-30",1.18,"6",-54
"2020-05-30",1.18,"1",-61
"2020-05-30",1.18,"2",-45
"2020-05-30",1.18,"3",26
"2020-05-31",1.17,"4",-97
"2020-05-31",1.17,"5",-94
"2020-05-31",1.17,"6",-87
"2020-05-31",1.17,"1",-92
"2020-05-31",1.17,"2",-69
"2020-05-31",1.17,"3",33
"2020-06-01",1.16,"4",-73
"2020-06-01",1.16,"5",-38
"2020-06-01",1.16,"6",-51
"2020-06-01",1.16,"1",-62
"2020-06-01",1.16,"2",-55
"2020-06-01",1.16,"3",30
"2020-06-02",1.15,"4",-75
"2020-06-02",1.15,"5",-42
"2020-06-02",1.15,"6",-53
"2020-06-02",1.15,"1",-64
"2020-06-02",1.15,"2",-57
"2020-06-02",1.15,"3",31
"2020-06-03",1.13,"4",-75
"2020-06-03",1.13,"5",-43
"2020-06-03",1.13,"6",-53
"2020-06-03",1.13,"1",-64
"2020-06-03",1.13,"2",-57
"2020-06-03",1.13,"3",32
