"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-14",3.23,"1",-33
"2020-03-14",3.23,"2",-15
"2020-03-14",3.23,"3",13
"2020-03-15",3.21,"4",-62
"2020-03-15",3.21,"5",-33
"2020-03-15",3.21,"6",-58
"2020-03-15",3.21,"1",-46
"2020-03-15",3.21,"2",-23
"2020-03-15",3.21,"3",15
"2020-03-16",3.16,"4",-50
"2020-03-16",3.16,"5",-16
"2020-03-16",3.16,"6",-40
"2020-03-16",3.16,"1",-51
"2020-03-16",3.16,"2",-41
"2020-03-16",3.16,"3",22
"2020-03-17",3.12,"4",-54
"2020-03-17",3.12,"5",-20
"2020-03-17",3.12,"6",-44
"2020-03-17",3.12,"1",-56
"2020-03-17",3.12,"2",-48
"2020-03-17",3.12,"3",24
"2020-03-18",3.07,"4",-55
"2020-03-18",3.07,"5",-19
"2020-03-18",3.07,"6",-38
"2020-03-18",3.07,"1",-57
"2020-03-18",3.07,"2",-51
"2020-03-18",3.07,"3",24
"2020-03-19",3.14,"4",-67
"2020-03-19",3.14,"5",-36
"2020-03-19",3.14,"6",-53
"2020-03-19",3.14,"1",-68
"2020-03-19",3.14,"2",-57
"2020-03-19",3.14,"3",30
"2020-03-20",3.01,"4",-77
"2020-03-20",3.01,"5",-42
"2020-03-20",3.01,"6",-70
"2020-03-20",3.01,"1",-73
"2020-03-20",3.01,"2",-60
"2020-03-20",3.01,"3",36
"2020-03-21",2.86,"4",-81
"2020-03-21",2.86,"5",-48
"2020-03-21",2.86,"6",-71
"2020-03-21",2.86,"1",-71
"2020-03-21",2.86,"2",-55
"2020-03-21",2.86,"3",26
"2020-03-22",2.74,"4",-83
"2020-03-22",2.74,"5",-58
"2020-03-22",2.74,"6",-72
"2020-03-22",2.74,"1",-74
"2020-03-22",2.74,"2",-51
"2020-03-22",2.74,"3",22
"2020-03-23",2.63,"4",-74
"2020-03-23",2.63,"5",-42
"2020-03-23",2.63,"6",-59
"2020-03-23",2.63,"1",-74
"2020-03-23",2.63,"2",-62
"2020-03-23",2.63,"3",32
"2020-03-24",2.48,"4",-73
"2020-03-24",2.48,"5",-40
"2020-03-24",2.48,"6",-60
"2020-03-24",2.48,"1",-74
"2020-03-24",2.48,"2",-63
"2020-03-24",2.48,"3",33
"2020-03-25",2.39,"4",-74
"2020-03-25",2.39,"5",-42
"2020-03-25",2.39,"6",-59
"2020-03-25",2.39,"1",-74
"2020-03-25",2.39,"2",-63
"2020-03-25",2.39,"3",32
"2020-03-26",2.2,"4",-74
"2020-03-26",2.2,"5",-42
"2020-03-26",2.2,"6",-60
"2020-03-26",2.2,"1",-75
"2020-03-26",2.2,"2",-64
"2020-03-26",2.2,"3",33
"2020-03-27",2.12,"4",-75
"2020-03-27",2.12,"5",-39
"2020-03-27",2.12,"6",-63
"2020-03-27",2.12,"1",-75
"2020-03-27",2.12,"2",-63
"2020-03-27",2.12,"3",36
"2020-03-28",2.02,"4",-79
"2020-03-28",2.02,"5",-47
"2020-03-28",2.02,"6",-72
"2020-03-28",2.02,"1",-74
"2020-03-28",2.02,"2",-55
"2020-03-28",2.02,"3",25
"2020-03-29",1.9,"4",-83
"2020-03-29",1.9,"5",-59
"2020-03-29",1.9,"6",-80
"2020-03-29",1.9,"1",-78
"2020-03-29",1.9,"2",-53
"2020-03-29",1.9,"3",22
"2020-03-30",1.77,"4",-74
"2020-03-30",1.77,"5",-45
"2020-03-30",1.77,"6",-71
"2020-03-30",1.77,"1",-78
"2020-03-30",1.77,"2",-63
"2020-03-30",1.77,"3",33
"2020-03-31",1.69,"4",-72
"2020-03-31",1.69,"5",-36
"2020-03-31",1.69,"6",-68
"2020-03-31",1.69,"1",-75
"2020-03-31",1.69,"2",-64
"2020-03-31",1.69,"3",33
"2020-04-01",1.56,"4",-73
"2020-04-01",1.56,"5",-40
"2020-04-01",1.56,"6",-67
"2020-04-01",1.56,"1",-76
"2020-04-01",1.56,"2",-64
"2020-04-01",1.56,"3",33
"2020-04-02",1.42,"4",-70
"2020-04-02",1.42,"5",-35
"2020-04-02",1.42,"6",-57
"2020-04-02",1.42,"1",-74
"2020-04-02",1.42,"2",-64
"2020-04-02",1.42,"3",33
"2020-04-03",1.34,"4",-72
"2020-04-03",1.34,"5",-34
"2020-04-03",1.34,"6",-61
"2020-04-03",1.34,"1",-75
"2020-04-03",1.34,"2",-64
"2020-04-03",1.34,"3",36
"2020-04-04",1.28,"4",-78
"2020-04-04",1.28,"5",-44
"2020-04-04",1.28,"6",-78
"2020-04-04",1.28,"1",-75
"2020-04-04",1.28,"2",-55
"2020-04-04",1.28,"3",25
"2020-04-05",1.24,"4",-84
"2020-04-05",1.24,"5",-60
"2020-04-05",1.24,"6",-88
