"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-01",0.62,"1",-16
"2020-03-01",0.62,"2",-3
"2020-03-01",0.62,"3",5
"2020-03-02",0.61,"4",-8
"2020-03-02",0.61,"5",-5
"2020-03-02",0.61,"6",-7
"2020-03-02",0.61,"1",-12
"2020-03-02",0.61,"2",-2
"2020-03-02",0.61,"3",6
"2020-03-03",0.61,"4",-8
"2020-03-03",0.61,"5",-5
"2020-03-03",0.61,"6",-3
"2020-03-03",0.61,"1",-13
"2020-03-03",0.61,"2",-1
"2020-03-03",0.61,"3",6
"2020-03-04",0.64,"4",-11
"2020-03-04",0.64,"5",-12
"2020-03-04",0.64,"6",-7
"2020-03-04",0.64,"1",-12
"2020-03-04",0.64,"2",-2
"2020-03-04",0.64,"3",6
"2020-03-05",0.77,"4",-12
"2020-03-05",0.77,"5",-11
"2020-03-05",0.77,"6",-13
"2020-03-05",0.77,"1",-9
"2020-03-05",0.77,"2",-2
"2020-03-05",0.77,"3",6
"2020-03-06",0.87,"4",-8
"2020-03-06",0.87,"5",-9
"2020-03-06",0.87,"6",-8
"2020-03-06",0.87,"1",-10
"2020-03-06",0.87,"2",3
"2020-03-06",0.87,"3",7
"2020-03-07",0.95,"4",-10
"2020-03-07",0.95,"5",-8
"2020-03-07",0.95,"6",-16
"2020-03-07",0.95,"1",-15
"2020-03-07",0.95,"2",0
"2020-03-07",0.95,"3",6
"2020-03-08",1.03,"4",-11
"2020-03-08",1.03,"5",-10
"2020-03-08",1.03,"6",-7
"2020-03-08",1.03,"1",-16
"2020-03-08",1.03,"2",-2
"2020-03-08",1.03,"3",5
"2020-03-09",1.07,"4",-11
"2020-03-09",1.07,"5",-7
"2020-03-09",1.07,"6",-9
"2020-03-09",1.07,"1",-14
"2020-03-09",1.07,"2",-1
"2020-03-09",1.07,"3",6
"2020-03-10",1.16,"4",-11
"2020-03-10",1.16,"5",-7
"2020-03-10",1.16,"6",-4
"2020-03-10",1.16,"1",-13
"2020-03-10",1.16,"2",-1
"2020-03-10",1.16,"3",6
"2020-03-11",1.25,"4",-13
"2020-03-11",1.25,"5",-12
"2020-03-11",1.25,"6",-9
"2020-03-11",1.25,"1",-13
"2020-03-11",1.25,"2",-2
"2020-03-11",1.25,"3",7
"2020-03-12",1.3,"4",-13
"2020-03-12",1.3,"5",-9
"2020-03-12",1.3,"6",-8
"2020-03-12",1.3,"1",-9
"2020-03-12",1.3,"2",-2
"2020-03-12",1.3,"3",6
"2020-03-13",1.43,"4",-10
"2020-03-13",1.43,"5",-10
"2020-03-13",1.43,"6",-9
"2020-03-13",1.43,"1",-12
"2020-03-13",1.43,"2",1
"2020-03-13",1.43,"3",8
"2020-03-14",1.51,"4",-11
"2020-03-14",1.51,"5",-8
"2020-03-14",1.51,"6",-1
"2020-03-14",1.51,"1",-15
"2020-03-14",1.51,"2",0
"2020-03-14",1.51,"3",6
"2020-03-15",1.6,"4",-14
"2020-03-15",1.6,"5",-10
"2020-03-15",1.6,"6",4
"2020-03-15",1.6,"1",-18
"2020-03-15",1.6,"2",-3
"2020-03-15",1.6,"3",6
"2020-03-16",1.71,"4",-10
"2020-03-16",1.71,"5",-2
"2020-03-16",1.71,"6",1
"2020-03-16",1.71,"1",-16
"2020-03-16",1.71,"2",-11
"2020-03-16",1.71,"3",9
"2020-03-17",1.8,"4",-8
"2020-03-17",1.8,"5",16
"2020-03-17",1.8,"6",2
"2020-03-17",1.8,"1",-16
"2020-03-17",1.8,"2",-12
"2020-03-17",1.8,"3",9
"2020-03-18",1.86,"4",-11
"2020-03-18",1.86,"5",-2
"2020-03-18",1.86,"6",-3
"2020-03-18",1.86,"1",-19
"2020-03-18",1.86,"2",-14
"2020-03-18",1.86,"3",11
"2020-03-19",1.84,"4",-13
"2020-03-19",1.84,"5",-1
"2020-03-19",1.84,"6",-2
"2020-03-19",1.84,"1",-19
"2020-03-19",1.84,"2",-16
"2020-03-19",1.84,"3",12
"2020-03-20",1.8,"4",-11
"2020-03-20",1.8,"5",-6
"2020-03-20",1.8,"6",-6
"2020-03-20",1.8,"1",-21
"2020-03-20",1.8,"2",-13
"2020-03-20",1.8,"3",15
"2020-03-21",1.77,"4",-13
"2020-03-21",1.77,"5",-4
"2020-03-21",1.77,"6",-15
"2020-03-21",1.77,"1",-23
"2020-03-21",1.77,"2",-3
"2020-03-21",1.77,"3",11
"2020-03-22",1.72,"4",-18
"2020-03-22",1.72,"5",-8
"2020-03-22",1.72,"6",-18
"2020-03-22",1.72,"1",-31
"2020-03-22",1.72,"2",-8
"2020-03-22",1.72,"3",11
"2020-03-23",1.71,"4",-16
"2020-03-23",1.71,"5",-3
"2020-03-23",1.71,"6",-23
"2020-03-23",1.71,"1",-24
"2020-03-23",1.71,"2",-11
"2020-03-23",1.71,"3",12
"2020-03-24",1.67,"4",-13
"2020-03-24",1.67,"5",3
"2020-03-24",1.67,"6",-9
"2020-03-24",1.67,"1",-23
"2020-03-24",1.67,"2",-13
"2020-03-24",1.67,"3",12
"2020-03-25",1.61,"4",-16
"2020-03-25",1.61,"5",-1
"2020-03-25",1.61,"6",-13
"2020-03-25",1.61,"1",-25
"2020-03-25",1.61,"2",-15
"2020-03-25",1.61,"3",14
"2020-03-26",1.53,"4",-18
"2020-03-26",1.53,"5",4
"2020-03-26",1.53,"6",-15
"2020-03-26",1.53,"1",-25
"2020-03-26",1.53,"2",-16
"2020-03-26",1.53,"3",14
"2020-03-27",1.47,"4",-20
"2020-03-27",1.47,"5",-1
"2020-03-27",1.47,"6",-24
"2020-03-27",1.47,"1",-27
"2020-03-27",1.47,"2",-14
"2020-03-27",1.47,"3",18
"2020-03-28",1.44,"4",-23
"2020-03-28",1.44,"5",3
"2020-03-28",1.44,"6",-15
"2020-03-28",1.44,"1",-33
"2020-03-28",1.44,"2",-8
"2020-03-28",1.44,"3",15
"2020-03-29",1.39,"4",-28
"2020-03-29",1.39,"5",-6
"2020-03-29",1.39,"6",-12
"2020-03-29",1.39,"1",-40
"2020-03-29",1.39,"2",-15
"2020-03-29",1.39,"3",15
"2020-03-30",1.36,"4",-21
"2020-03-30",1.36,"5",-1
"2020-03-30",1.36,"6",-16
"2020-03-30",1.36,"1",-29
"2020-03-30",1.36,"2",-18
"2020-03-30",1.36,"3",16
"2020-03-31",1.37,"4",-20
"2020-03-31",1.37,"5",1
"2020-03-31",1.37,"6",-10
"2020-03-31",1.37,"1",-29
"2020-03-31",1.37,"2",-18
"2020-03-31",1.37,"3",15
"2020-04-01",1.4,"4",-23
"2020-04-01",1.4,"5",-9
"2020-04-01",1.4,"6",-15
"2020-04-01",1.4,"1",-31
"2020-04-01",1.4,"2",-22
"2020-04-01",1.4,"3",18
"2020-04-02",1.43,"4",-25
"2020-04-02",1.43,"5",-5
"2020-04-02",1.43,"6",-22
"2020-04-02",1.43,"1",-33
"2020-04-02",1.43,"2",-27
"2020-04-02",1.43,"3",19
"2020-04-03",1.5,"4",-21
"2020-04-03",1.5,"5",18
"2020-04-03",1.5,"6",-29
"2020-04-03",1.5,"1",-32
"2020-04-03",1.5,"2",-20
"2020-04-03",1.5,"3",21
"2020-04-04",1.59,"4",-24
"2020-04-04",1.59,"5",8
"2020-04-04",1.59,"6",-27
"2020-04-04",1.59,"1",-36
"2020-04-04",1.59,"2",-7
"2020-04-04",1.59,"3",15
"2020-04-05",1.69,"4",-23
"2020-04-05",1.69,"5",-1
"2020-04-05",1.69,"6",-27
"2020-04-05",1.69,"1",-40
"2020-04-05",1.69,"2",-10
"2020-04-05",1.69,"3",14
"2020-04-06",1.73,"4",-15
"2020-04-06",1.73,"5",12
"2020-04-06",1.73,"6",-26
"2020-04-06",1.73,"1",-32
"2020-04-06",1.73,"2",-24
"2020-04-06",1.73,"3",16
"2020-04-07",1.83,"4",-51
"2020-04-07",1.83,"5",-6
"2020-04-07",1.83,"6",-37
"2020-04-07",1.83,"1",-54
"2020-04-07",1.83,"2",-52
"2020-04-07",1.83,"3",32
"2020-04-08",1.92,"4",-59
"2020-04-08",1.92,"5",-21
"2020-04-08",1.92,"6",-46
"2020-04-08",1.92,"1",-63
"2020-04-08",1.92,"2",-63
"2020-04-08",1.92,"3",39
"2020-04-09",2.02,"4",-57
"2020-04-09",2.02,"5",-12
"2020-04-09",2.02,"6",-37
"2020-04-09",2.02,"1",-63
"2020-04-09",2.02,"2",-64
"2020-04-09",2.02,"3",38
"2020-04-10",2.01,"4",-63
"2020-04-10",2.01,"5",-13
"2020-04-10",2.01,"6",-44
"2020-04-10",2.01,"1",-75
"2020-04-10",2.01,"2",-83
"2020-04-10",2.01,"3",53
"2020-04-11",2.01,"4",-61
"2020-04-11",2.01,"5",-21
"2020-04-11",2.01,"6",-51
"2020-04-11",2.01,"1",-66
"2020-04-11",2.01,"2",-51
"2020-04-11",2.01,"3",32
"2020-04-12",2.05,"4",-64
"2020-04-12",2.05,"5",-31
"2020-04-12",2.05,"6",-57
"2020-04-12",2.05,"1",-70
"2020-04-12",2.05,"2",-49
"2020-04-12",2.05,"3",27
"2020-04-13",2.1,"4",-60
"2020-04-13",2.1,"5",-21
"2020-04-13",2.1,"6",-53
"2020-04-13",2.1,"1",-66
"2020-04-13",2.1,"2",-64
"2020-04-13",2.1,"3",40
"2020-04-14",2.11,"4",-58
