"date","reproduction_rate","metric","mobility_change_from_baseline"
"2020-03-05",3.61,"1",2
"2020-03-05",3.61,"2",3
"2020-03-05",3.61,"3",-1
"2020-03-06",3.56,"4",5
"2020-03-06",3.56,"5",3
"2020-03-06",3.56,"6",12
"2020-03-06",3.56,"1",2
"2020-03-06",3.56,"2",2
"2020-03-06",3.56,"3",-1
"2020-03-07",3.58,"4",10
"2020-03-07",3.58,"5",8
"2020-03-07",3.58,"6",29
"2020-03-07",3.58,"1",7
"2020-03-07",3.58,"2",5
"2020-03-07",3.58,"3",-1
"2020-03-08",3.46,"4",10
"2020-03-08",3.46,"5",7
"2020-03-08",3.46,"6",40
"2020-03-08",3.46,"1",5
"2020-03-08",3.46,"2",2
"2020-03-08",3.46,"3",-1
"2020-03-09",3.32,"4",6
"2020-03-09",3.32,"5",6
"2020-03-09",3.32,"6",31
"2020-03-09",3.32,"1",-1
"2020-03-09",3.32,"2",0
"2020-03-09",3.32,"3",0
"2020-03-10",3.36,"4",6
"2020-03-10",3.36,"5",7
"2020-03-10",3.36,"6",18
"2020-03-10",3.36,"1",-3
"2020-03-10",3.36,"2",-2
"2020-03-10",3.36,"3",1
"2020-03-11",3.42,"4",8
"2020-03-11",3.42,"5",10
"2020-03-11",3.42,"6",26
"2020-03-11",3.42,"1",-2
"2020-03-11",3.42,"2",-1
"2020-03-11",3.42,"3",0
"2020-03-12",3.4,"4",6
"2020-03-12",3.4,"5",23
"2020-03-12",3.4,"6",19
"2020-03-12",3.4,"1",-6
"2020-03-12",3.4,"2",-3
"2020-03-12",3.4,"3",1
"2020-03-13",3.41,"4",2
"2020-03-13",3.41,"5",26
"2020-03-13",3.41,"6",4
"2020-03-13",3.41,"1",-10
"2020-03-13",3.41,"2",-7
"2020-03-13",3.41,"3",3
"2020-03-14",3.37,"4",-6
"2020-03-14",3.37,"5",18
"2020-03-14",3.37,"6",3
"2020-03-14",3.37,"1",-10
"2020-03-14",3.37,"2",-1
"2020-03-14",3.37,"3",3
"2020-03-15",3.41,"4",-9
"2020-03-15",3.41,"5",12
"2020-03-15",3.41,"6",5
"2020-03-15",3.41,"1",-13
"2020-03-15",3.41,"2",-7
"2020-03-15",3.41,"3",3
"2020-03-16",3.62,"4",-8
"2020-03-16",3.62,"5",21
"2020-03-16",3.62,"6",-1
"2020-03-16",3.62,"1",-22
"2020-03-16",3.62,"2",-20
"2020-03-16",3.62,"3",8
"2020-03-17",3.66,"4",-18
"2020-03-17",3.66,"5",14
"2020-03-17",3.66,"6",8
"2020-03-17",3.66,"1",-26
"2020-03-17",3.66,"2",-27
"2020-03-17",3.66,"3",11
"2020-03-18",3.65,"4",-24
"2020-03-18",3.65,"5",8
"2020-03-18",3.65,"6",6
"2020-03-18",3.65,"1",-30
"2020-03-18",3.65,"2",-31
"2020-03-18",3.65,"3",13
"2020-03-19",3.62,"4",-28
"2020-03-19",3.62,"5",7
"2020-03-19",3.62,"6",2
"2020-03-19",3.62,"1",-36
"2020-03-19",3.62,"2",-33
"2020-03-19",3.62,"3",15
"2020-03-20",3.52,"4",-32
"2020-03-20",3.52,"5",5
"2020-03-20",3.52,"6",-2
"2020-03-20",3.52,"1",-37
"2020-03-20",3.52,"2",-36
"2020-03-20",3.52,"3",16
"2020-03-21",3.34,"4",-40
"2020-03-21",3.34,"5",-2
"2020-03-21",3.34,"6",-3
"2020-03-21",3.34,"1",-36
"2020-03-21",3.34,"2",-24
"2020-03-21",3.34,"3",12
"2020-03-22",3.21,"4",-44
"2020-03-22",3.21,"5",-13
"2020-03-22",3.21,"6",-12
"2020-03-22",3.21,"1",-44
"2020-03-22",3.21,"2",-31
"2020-03-22",3.21,"3",11
"2020-03-23",2.99,"4",-38
"2020-03-23",2.99,"5",-10
"2020-03-23",2.99,"6",-23
"2020-03-23",2.99,"1",-47
"2020-03-23",2.99,"2",-41
"2020-03-23",2.99,"3",17
"2020-03-24",2.75,"4",-39
"2020-03-24",2.75,"5",-12
"2020-03-24",2.75,"6",-10
"2020-03-24",2.75,"1",-46
"2020-03-24",2.75,"2",-45
"2020-03-24",2.75,"3",19
"2020-03-25",2.54,"4",-40
"2020-03-25",2.54,"5",-15
"2020-03-25",2.54,"6",-7
"2020-03-25",2.54,"1",-47
"2020-03-25",2.54,"2",-46
"2020-03-25",2.54,"3",19
"2020-03-26",2.41,"4",-40
"2020-03-26",2.41,"5",-14
"2020-03-26",2.41,"6",3
"2020-03-26",2.41,"1",-48
